"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"100",500,500,50,0.4,1,0.342,0.924,44.3201,49.66965,55.6633,0.327489,0.371196,0.418964,1.00069668697227,0.999518935378913,15000,5000,20,500
"101",1000,500,50,0.4,1,0.374,0.917,47.0374,50.41935,54.5828,0.380477,0.410576,0.446186,1.00108625102222,0.9993823014546,15000,5000,20,500
"102",1000,500,50,0.4,1,0.361,0.917,43.4421,47.00485,50.7925,0.357623,0.391382,0.423297,1.00166240898134,1.00000647062891,15000,5000,20,500
"103",1000,500,50,0.4,1,0.373,0.926,45.8288,49.46925,53.5802,0.375479,0.4077025,0.438329,1.00146999010247,1.00018234051663,15000,5000,20,500
"104",1000,500,50,0.4,1,0.37,0.936,52.2624,56.55925,60.9084,0.374223,0.4057325,0.437406,1.00066022827744,1.00183224888128,15000,5000,20,500
"105",1000,500,50,0.4,1,0.417,0.93,44.992,48.3941,51.8186,0.417979,0.4488285,0.483064,0.999208755957614,1.00188323199701,15000,5000,20,500
"106",1000,500,50,0.4,1,0.406,0.928,45.3706,48.54475,52.3707,0.407477,0.440543,0.473499,0.999217642123179,1.00025661263891,15000,5000,20,500
"107",1000,500,50,0.4,1,0.378,0.913,45.1007,48.5748,52.4317,0.37686,0.408413,0.43982,0.99908794332154,0.999434966594802,15000,5000,20,500
"108",1000,500,50,0.4,1,0.371,0.918,48.064,52.1068,56.4688,0.378281,0.40925,0.442832,1.00476309782161,1.00102989025733,15000,5000,20,500
"109",1000,500,50,0.4,1,0.38,0.921,47.9612,51.76825,55.6907,0.385622,0.4161735,0.447179,1.00092445567559,1.00201540475949,15000,5000,20,500
"110",1000,500,50,0.4,1,0.372,0.909,49.6529,53.7314,58.0647,0.379039,0.410634,0.442648,1.00054652807331,1.00201243721888,15000,5000,20,500
"111",1000,500,50,0.4,1,0.39,0.905,48.1765,51.8466,56.1288,0.394868,0.4270975,0.459663,0.999640121629608,1.00035686903563,15000,5000,20,500
"112",1000,500,50,0.4,1,0.37,0.921,46.2636,49.8047,53.7652,0.373127,0.4048315,0.439167,1.00172396327962,1.00132343822402,15000,5000,20,500
"113",1000,500,50,0.4,1,0.367,0.914,45.9817,49.6866,53.5285,0.367929,0.4023435,0.434152,0.999561105357706,1.00079858553015,15000,5000,20,500
"114",1000,500,50,0.4,1,0.393,0.923,47.6331,51.30935,55.2558,0.398611,0.4297055,0.464039,1.00109665315591,0.999350393929903,15000,5000,20,500
"115",1000,500,50,0.4,1,0.39,0.918,48.5496,52.3879,56.2652,0.392258,0.425631,0.457429,1.00309533995981,1.00381828561495,15000,5000,20,500
"116",1000,500,50,0.4,1,0.392,0.929,46.2109,49.87645,53.7686,0.392465,0.4249895,0.458397,0.999530573394369,1.00367592799063,15000,5000,20,500
"117",1000,500,50,0.4,1,0.388,0.918,48.6736,52.2928,56.5213,0.386299,0.419894,0.449778,1.00001136790531,1.00119526738167,15000,5000,20,500
"118",1000,500,50,0.4,1,0.379,0.923,46.557,50.18765,54.6068,0.38412,0.414783,0.448155,1.00094581177575,1.00420961597271,15000,5000,20,500
"119",1000,500,50,0.4,1,0.379,0.942,44.9158,48.44735,52.5248,0.376959,0.407282,0.442889,1.00362005094575,1.00011547452367,15000,5000,20,500
"120",1000,500,50,0.4,1,0.378,0.917,44.4488,47.6056,51.737,0.380665,0.41204,0.443674,1.0021127450867,1.00045562962348,15000,5000,20,500
"121",1000,500,50,0.4,1,0.376,0.929,47.1016,50.96505,54.939,0.376221,0.408507,0.441912,1.00183510928325,1.00076404728811,15000,5000,20,500
"122",1000,500,50,0.4,1,0.401,0.911,48.1497,51.59565,55.654,0.405471,0.437507,0.470733,1.00041064634185,0.999998055849965,15000,5000,20,500
"123",1000,500,50,0.4,1,0.376,0.92,46.0286,49.4439,53.457,0.373733,0.4055915,0.439856,0.999706910526296,1.0014146271214,15000,5000,20,500
"124",1000,500,50,0.4,1,0.382,0.919,43.7494,46.90125,50.9817,0.381583,0.4128495,0.444094,1.00007892614743,1.00589360610009,15000,5000,20,500
"125",1000,500,50,0.4,1,0.39,0.928,49.0886,53.16705,57.1576,0.392685,0.4251535,0.456227,1.00007363568869,1.00016286547572,15000,5000,20,500
"126",1000,500,50,0.4,1,0.41,0.924,47.1279,50.55395,54.3372,0.416445,0.448982,0.477835,1.0000656707301,1.0012941032103,15000,5000,20,500
"127",1000,500,50,0.4,1,0.373,0.91,48.9296,52.90055,57.0718,0.38017,0.40998,0.443276,1.00001547961923,1.00014566758585,15000,5000,20,500
"128",1000,500,50,0.4,1,0.411,0.923,46.9147,50.1922,54.1376,0.414802,0.4493855,0.482217,0.999893823758775,1.00067897970505,15000,5000,20,500
