"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"69",500,500,50,0.4,1,0.38,0.896,40.0862,47.35505,55.7399,0.374145,0.4256325,0.474464,1.00284119546918,1.00242246691153,15000,5000,20,500
"70",500,500,50,0.4,1,0.372,0.876,38.9646,45.67195,53.5929,0.368226,0.4138755,0.462649,1.00075865542153,1.00038316247457,15000,5000,20,500
"71",500,500,50,0.4,1,0.394,0.91,41.2439,48.3752,56.4097,0.386274,0.43325,0.480916,0.999646233583038,1.00292308923212,15000,5000,20,500
"72",500,500,50,0.4,1,0.376,0.91,46.0107,53.92315,63.7658,0.376586,0.419763,0.467978,1.00602594134811,1.00118264325975,15000,5000,20,500
"73",500,500,50,0.4,1,0.354,0.888,39.1275,45.96365,54.5286,0.347767,0.3925055,0.44078,1.0018482626159,1.00216294604831,15000,5000,20,500
"74",500,500,50,0.4,1,0.39,0.904,41.7981,48.80785,56.747,0.384876,0.4278865,0.476653,1.00147610052311,1.00449696386623,15000,5000,20,500
"75",500,500,50,0.4,1,0.402,0.918,40.5654,47.30035,55.1608,0.39127,0.4358695,0.484175,1.00059644852055,1.00274643352286,15000,5000,20,500
"76",500,500,50,0.4,1,0.342,0.896,43.8461,51.96265,61.6513,0.338639,0.378887,0.428997,1.00385839305464,1.0014169387057,15000,5000,20,500
"77",500,500,50,0.4,1,0.396,0.88,45.1852,52.77835,62.3912,0.399998,0.449936,0.498957,1.00127139022036,1.00182290537285,15000,5000,20,500
"78",500,500,50,0.4,1,0.36,0.884,41.632,49.56265,58.0639,0.356529,0.404569,0.453461,0.999662777022743,0.999939787068585,15000,5000,20,500
"79",500,500,50,0.4,1,0.384,0.906,46.4974,54.4274,63.6694,0.3845,0.4281765,0.478843,1.00680259104287,1.00055248091371,15000,5000,20,500
"80",500,500,50,0.4,1,0.412,0.908,40.1787,47.6401,54.9271,0.409487,0.4568635,0.506055,1.00082129811063,1.00078346721972,15000,5000,20,500
"81",500,500,50,0.4,1,0.37,0.906,44.4541,53.5678,61.7738,0.370771,0.414902,0.466761,1.00087160056786,1.00075397861068,15000,5000,20,500
"82",500,500,50,0.4,1,0.364,0.914,47.2022,55.36,66.1571,0.363635,0.4080175,0.461396,1.00086122433514,1.00165516687602,15000,5000,20,500
"83",500,500,50,0.4,1,0.388,0.92,43.3366,50.619,59.8934,0.37923,0.4252955,0.471954,1.00063123002992,1.0085402074138,15000,5000,20,500
"84",500,500,50,0.4,1,0.404,0.86,43.9307,51.43255,59.7679,0.404051,0.4530745,0.501246,1.00157778299478,1.00013997492327,15000,5000,20,500
"85",500,500,50,0.4,1,0.374,0.886,44.5412,51.6542,60.8761,0.374487,0.425187,0.471914,1.00238563654895,1.00058296597889,15000,5000,20,500
"86",500,500,50,0.4,1,0.394,0.87,41.9334,49.9698,57.8598,0.388503,0.438975,0.485342,1.00068259699408,1.00100094594012,15000,5000,20,500
