"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"83",100,500,0.4,145.368700607214,0.21,0.65,75.6441,115.6305,173.996,1.00275675492444,15000,5000,20,500
"84",100,500,0.4,155.310364954639,0.3,0.77,73.2793,105.4305,147.55,1.00224900562223,15000,5000,20,500
"85",100,500,0.4,210.445960531943,0.22,0.6,71.0075,109.3235,166.072,1.00028392778464,15000,5000,20,500
"86",100,500,0.4,288.724011860322,0.28,0.47,60.2864,89.1888,124.391,0.999393393544154,15000,5000,20,500
"87",100,500,0.4,235.499212541617,0.21,0.53,54.2774,85.8603,131.185,1.00029583780465,15000,5000,20,500
"88",100,500,0.4,233.095765730832,0.26,0.55,79.412,127.314,180.621,1.00242190410983,15000,5000,20,500
"89",100,500,0.4,198.79800847033,0.33,0.61,84.2387,120.999,166.42,1.00229608494379,15000,5000,20,500
"90",100,500,0.4,119.954097811133,0.25,0.76,58.6852,90.10305,129.536,1.00002269853574,15000,5000,20,500
"91",100,500,0.4,168.701219011564,0.25,0.67,83.0807,125.436,180.601,1.00053882449921,15000,5000,20,500
"92",100,500,0.4,114.983465026598,0.27,0.75,48.9456,72.76655,104.189,1.00095456339377,15000,5000,20,500
"93",100,500,0.4,250.515639304649,0.21,0.56,91.4959,146.5545,221.157,1.00087606367735,15000,5000,20,500
"94",100,500,0.4,83.4436069568619,0.33,0.83,44.4194,64.3766,88.7682,1.00422167921017,15000,5000,20,500
"95",100,500,0.4,102.396648742724,0.29,0.75,47.5422,68.6281,97.4212,1.00044901302679,15000,5000,20,500
"96",100,500,0.4,184.168667742051,0.23,0.63,56.4171,88.1766,128.348,1.0005537368843,15000,5000,20,500
"97",100,500,0.4,258.61237084493,0.21,0.61,80.6067,126.111,188.686,1.00080524724186,15000,5000,20,500
"98",100,500,0.4,218.348345151171,0.25,0.64,67.9535,105.9315,153.055,0.999802560034828,15000,5000,20,500
"99",100,500,0.4,49.1901946463622,0.32,0.86,23.9911,35.8415,49.7956,1.0015132686136,15000,5000,20,500
"100",100,500,0.4,216.089502286632,0.3,0.65,83.2051,120.0555,168.763,1.00057521860243,15000,5000,20,500
"101",500,500,0.4,42.4511589831673,0.39,0.91,34.2631,39.8477,45.6083,1.00072586859792,15000,5000,20,500
"102",500,500,0.4,225.394357233308,0.232,0.59,92.1012,110.71,132.282,0.999663106623871,15000,5000,20,500
"103",500,500,0.4,174.944718955085,0.27,0.658,90.2337,107.158,125.692,0.999992117531184,15000,5000,20,500
"104",500,500,0.4,196.9855432841,0.222,0.6,85.1717,102.763,122.163,1.0005110705622,15000,5000,20,500
"105",500,500,0.4,288.440410969779,0.194,0.508,96.6937,120.258,145.695,1.00069884641412,15000,5000,20,500
"106",500,500,0.4,58.9308591047302,0.342,0.892,44.0293,50.7914,58.7284,0.99919681892066,15000,5000,20,500
"107",500,500,0.4,186.923382850364,0.262,0.672,104.584,123.472,147.141,1.00214784833751,15000,5000,20,500
"108",500,500,0.4,25.8425575052388,0.386,0.956,20.2544,23.2882,26.6781,0.999924007087778,15000,5000,20,500
"109",500,500,0.4,180.123439903837,0.296,0.696,98.7986,113.167,135.423,1.00039121345209,15000,5000,20,500
"110",500,500,0.4,117.971778027713,0.28,0.738,77.6341,90.41215,107.771,1.00013593544292,15000,5000,20,500
"111",500,500,0.4,209.809513380751,0.236,0.602,100.695,122.3635,144.636,1.00099318468089,15000,5000,20,500
"112",500,500,0.4,89.7994794137776,0.314,0.792,56.4886,66.2255,76.6019,0.999438635260664,15000,5000,20,500
