"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"87",500,500,50,0.4,1,0.398,0.934,40.8296,45.12615,49.7712,1.00050576605792,15000,5000,20,500
"88",500,500,50,0.4,1,0.42,0.942,41.3046,45.8568,50.3799,0.999443339528758,15000,5000,20,500
"89",500,500,50,0.4,1,0.416,0.93,42.224,47.09415,51.458,0.999804747727692,15000,5000,20,500
"90",500,500,50,0.4,1,0.366,0.904,43.1411,47.52695,53.0114,1.0015904889008,15000,5000,20,500
"91",500,500,50,0.4,1,0.354,0.9,39.2929,43.7376,48.2744,1.00053040316931,15000,5000,20,500
"92",500,500,50,0.4,1,0.368,0.906,44.5022,49.65125,54.5885,0.999710775735888,15000,5000,20,500
"93",500,500,50,0.4,1,0.376,0.916,47.2669,52.0688,58.3393,1.00304596301354,15000,5000,20,500
"94",500,500,50,0.4,1,0.382,0.924,44.0976,48.28325,53.7765,1.00196540120047,15000,5000,20,500
"95",500,500,50,0.4,1,0.358,0.92,41.0033,45.8049,50.841,1.00151271603645,15000,5000,20,500
"96",500,500,50,0.4,1,0.388,0.926,43.4949,47.76555,53.1558,1.00291090509896,15000,5000,20,500
"97",500,500,50,0.4,1,0.382,0.932,46.3714,51.11295,56.8241,1.00559107677151,15000,5000,20,500
"98",500,500,50,0.4,1,0.402,0.952,43.9185,48.38565,53.6853,1.00057449115957,15000,5000,20,500
"99",500,500,50,0.4,1,0.43,0.918,43.685,47.7615,52.5819,0.999250409298118,15000,5000,20,500
"100",500,500,50,0.4,1,0.406,0.916,41.7718,46.22265,50.9836,0.9995325117486,15000,5000,20,500
"101",1000,500,50,0.4,1,0.383,0.93,46.0565,49.42465,52.9812,1.00140803148534,15000,5000,20,500
"102",1000,500,50,0.4,1,0.414,0.92,43.9139,47.07225,50.3366,1.00318167704624,15000,5000,20,500
"103",1000,500,50,0.4,1,0.377,0.919,44.8604,48.24145,51.6847,1.0019948897551,15000,5000,20,500
"104",1000,500,50,0.4,1,0.423,0.947,43.8446,46.4448,49.6826,0.999211776303815,15000,5000,20,500
"105",1000,500,50,0.4,1,0.38,0.905,43.0458,46.3046,49.644,1.00031871629374,15000,5000,20,500
"106",1000,500,50,0.4,1,0.371,0.916,43.8953,47.4176,50.7998,0.99997697916391,15000,5000,20,500
"107",1000,500,50,0.4,1,0.382,0.923,45.6373,49.04575,52.5199,1.00072854653547,15000,5000,20,500
"108",1000,500,50,0.4,1,0.383,0.919,42.2442,45.75095,48.9322,1.00184901730934,15000,5000,20,500
"109",1000,500,50,0.4,1,0.369,0.915,44.5456,47.9087,51.6724,0.999872488275681,15000,5000,20,500
"110",1000,500,50,0.4,1,0.367,0.918,45.6977,49.1206,52.8106,1.00066128272516,15000,5000,20,500
"111",1000,500,50,0.4,1,0.402,0.928,44.859,47.902,51.4369,1.00125243375194,15000,5000,20,500
"112",1000,500,50,0.4,1,0.366,0.917,43.5846,46.77365,50.3244,1.00176034931316,15000,5000,20,500
"113",1000,500,50,0.4,1,0.381,0.919,47.6922,51.32395,54.7469,1.00206626924375,15000,5000,20,500
"114",1000,500,50,0.4,1,0.381,0.925,46.2601,49.62295,52.9997,1.00395611419301,15000,5000,20,500
"115",1000,500,50,0.4,1,0.397,0.928,45.2383,48.4217,51.9312,1.00097542177455,15000,5000,20,500
"116",1000,500,50,0.4,1,0.382,0.918,43.0854,46.0221,49.7481,1.00069520191151,15000,5000,20,500
"117",1000,500,50,0.4,1,0.401,0.926,43.0824,45.9989,49.379,1.00176068949179,15000,5000,20,500
"118",1000,500,50,0.4,1,0.385,0.912,42.2732,45.1364,48.5852,1.00259621177103,15000,5000,20,500
"119",1000,500,50,0.4,1,0.375,0.909,44.0924,47.5232,50.749,1.000103994933,15000,5000,20,500
"120",1000,500,50,0.4,1,0.391,0.93,45.3875,48.653,51.9611,1.0013846145662,15000,5000,20,500
"121",1000,500,50,0.4,1,0.339,0.913,45.473,49.35025,52.9126,0.999217255310341,15000,5000,20,500
"122",1000,500,50,0.4,1,0.405,0.936,47.2996,50.48375,54.0798,1.00012133948624,15000,5000,20,500
"123",1000,500,50,0.4,1,0.402,0.926,41.4512,44.47085,47.6944,1.00082622981528,15000,5000,20,500
"124",1000,500,50,0.4,1,0.37,0.928,43.5532,46.966,50.3218,1.00095132046355,15000,5000,20,500
"125",1000,500,50,0.4,1,0.383,0.92,44.5507,47.92395,51.2573,1.00342728167407,15000,5000,20,500
"126",1000,500,50,0.4,1,0.376,0.922,45.8379,48.83765,52.5155,1.00151205934709,15000,5000,20,500
"127",1000,500,50,0.4,1,0.371,0.922,44.9026,48.63985,51.9935,1.00052864134262,15000,5000,20,500
"128",1000,500,50,0.4,1,0.398,0.919,44.66,48.3435,51.6944,1.00147942219975,15000,5000,20,500
"129",1000,500,50,0.4,1,0.4,0.935,44.3581,47.6162,50.9286,0.999900115032462,15000,5000,20,500
"130",1000,500,50,0.4,1,0.368,0.906,43.0701,46.13335,49.6587,1.0010377447537,15000,5000,20,500
"131",1000,500,50,0.4,1,0.405,0.92,45.5735,49.0871,52.235,0.999930790557519,15000,5000,20,500
"132",1000,500,50,0.4,1,0.4,0.924,44.339,47.6957,50.9999,1.00043277106573,15000,5000,20,500
"133",1000,500,50,0.4,1,0.375,0.923,42.7282,45.9764,49.2744,1.00129587954801,15000,5000,20,500
"134",1000,500,50,0.4,1,0.389,0.924,47.8026,51.40455,54.7752,0.999806606153223,15000,5000,20,500
"135",1000,500,50,0.4,1,0.394,0.911,43.3279,46.60655,49.941,1.00066317932767,15000,5000,20,500
"136",1000,500,50,0.4,1,0.405,0.93,44.2203,47.33595,50.618,1.00008220983765,15000,5000,20,500
"137",1000,500,50,0.4,1,0.367,0.918,46.9111,50.09725,54.0592,1.00073560139115,15000,5000,20,500
"138",1000,500,50,0.4,1,0.366,0.896,49.0245,52.28565,56.3198,1.00197399325963,15000,5000,20,500
"139",1000,500,50,0.4,1,0.392,0.921,43.891,47.3832,50.6534,1.00282024868337,15000,5000,20,500
"140",1000,500,50,0.4,1,0.385,0.919,46.9654,50.15265,54.1265,1.00000051615221,15000,5000,20,500
"141",1000,500,50,0.4,1,0.381,0.923,47.7579,51.39475,54.8223,1.00206619868375,15000,5000,20,500
"142",1000,500,50,0.4,1,0.389,0.909,43.5153,46.85525,50.0394,1.00012402675039,15000,5000,20,500
"143",1000,500,50,0.4,1,0.384,0.912,44.3184,47.6062,50.9338,1.00247296446452,15000,5000,20,500
"144",1000,500,50,0.4,1,0.386,0.91,47.2577,50.91725,54.4061,1.00009656937134,15000,5000,20,500
"145",1000,500,50,0.4,1,0.371,0.912,42.5466,45.80615,49.0468,1.00034317552065,15000,5000,20,500
"146",1000,500,50,0.4,1,0.366,0.911,44.5406,48.13415,51.6959,1.00082153357607,15000,5000,20,500
"147",1000,500,50,0.4,1,0.359,0.916,45.7694,49.47695,52.9919,1.00328467021241,15000,5000,20,500
"148",1000,500,50,0.4,1,0.368,0.919,44.4585,47.664,51.3474,1.00361504577436,15000,5000,20,500
"149",1000,500,50,0.4,1,0.355,0.923,42.2219,45.3386,48.8208,1.00091586064153,15000,5000,20,500
"150",1000,500,50,0.4,1,0.365,0.907,46.1667,49.5325,53.2636,0.999598148769478,15000,5000,20,500
"151",100,1000,50,0.4,1,0.38,0.95,39.4086,50.2942,64.1142,1.00018140884735,15000,5000,20,500
"152",100,1000,50,0.4,1,0.44,0.99,36.3154,45.20765,55.6312,1.00097073259297,15000,5000,20,500
