"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"189",100,1000,50,0.4,0.29,0.93,25.4285,37.4792,53.8735,1.00502975112919,15000,5000,20,500
"190",100,1000,50,0.4,0.36,0.94,42.4578,62.42235,87.2524,1.00205610564273,15000,5000,20,500
"191",100,1000,50,0.4,0.3,0.98,28.8634,42.211,60.4025,1.00181721852087,15000,5000,20,500
"192",100,1000,50,0.4,0.41,0.95,28.5636,39.5501,53.7571,1.00332425688224,15000,5000,20,500
"193",100,1000,50,0.4,0.37,0.91,35.6248,52.85945,72.968,1.00680352636905,15000,5000,20,500
"194",100,1000,50,0.4,0.34,0.94,34.4837,51.0371,70.7412,0.999225864175716,15000,5000,20,500
"195",100,1000,50,0.4,0.29,0.95,36.8116,55.81905,80.7618,1.00143281512844,15000,5000,20,500
"196",100,1000,50,0.4,0.44,0.98,36.5874,51.24895,68.504,0.999830709536192,15000,5000,20,500
"197",100,1000,50,0.4,0.32,0.93,35.0374,49.1068,71.3472,1.00011599003342,15000,5000,20,500
"198",100,1000,50,0.4,0.41,0.95,41.1563,58.78125,79.3956,1.00536803619878,15000,5000,20,500
"199",100,1000,50,0.4,0.39,0.97,39.0754,54.37375,74.3169,1.00336531788094,15000,5000,20,500
"200",100,1000,50,0.4,0.46,1,37.6133,49.2179,67.2026,1.00270703617654,15000,5000,20,500
"201",500,1000,50,0.4,0.396,0.96,43.5464,50.4167,58.4041,1.00005382049482,15000,5000,20,500
"202",500,1000,50,0.4,0.366,0.946,43.1321,50.24645,58.2143,1.0016203365384,15000,5000,20,500
"203",500,1000,50,0.4,0.408,0.952,42.8931,49.9415,57.6179,1.00157827837867,15000,5000,20,500
"204",500,1000,50,0.4,0.39,0.958,43.1658,50.9256,58.9989,1.00048268899337,15000,5000,20,500
"205",500,1000,50,0.4,0.352,0.96,43.6738,52.3439,60.7626,1.00165234112683,15000,5000,20,500
"206",500,1000,50,0.4,0.378,0.944,41.8892,48.99655,56.7406,1.00445803769751,15000,5000,20,500
"207",500,1000,50,0.4,0.442,0.96,43.7757,49.8293,57.3883,1.00215524747415,15000,5000,20,500
"208",500,1000,50,0.4,0.388,0.946,44.6206,52.25615,61.091,1.0032753972925,15000,5000,20,500
"209",500,1000,50,0.4,0.382,0.946,40.6827,46.9102,54.3493,1.0004360016876,15000,5000,20,500
"210",500,1000,50,0.4,0.37,0.928,41.0645,47.68705,55.3155,1.00548868322068,15000,5000,20,500
"211",500,1000,50,0.4,0.4,0.944,41.8919,48.911,56.3618,1.00207755920906,15000,5000,20,500
"212",500,1000,50,0.4,0.342,0.964,41.3064,49.45365,56.9967,1.00016164170634,15000,5000,20,500
"213",500,1000,50,0.4,0.404,0.95,40.5071,46.43485,53.9904,1.00146805611913,15000,5000,20,500
"214",500,1000,50,0.4,0.384,0.94,42.2086,48.8075,56.3321,1.00179917121909,15000,5000,20,500
"215",500,1000,50,0.4,0.404,0.956,40.0492,46.28715,53.582,1.00753553805103,15000,5000,20,500
"216",500,1000,50,0.4,0.374,0.926,43.4762,50.93285,58.8854,1.00269874000283,15000,5000,20,500
"217",500,1000,50,0.4,0.416,0.948,43.8372,51.164,58.3498,0.999653296777972,15000,5000,20,500
"218",500,1000,50,0.4,0.35,0.956,41.6256,48.63405,56.9547,1.00569057416849,15000,5000,20,500
"219",500,1000,50,0.4,0.376,0.954,45.3432,53.2467,61.4842,1.00028418976838,15000,5000,20,500
"220",500,1000,50,0.4,0.346,0.968,40.7775,47.6732,55.1248,1.00100409960107,15000,5000,20,500
"221",500,1000,50,0.4,0.402,0.952,40.293,46.80345,53.9799,0.999712479841287,15000,5000,20,500
"222",500,1000,50,0.4,0.392,0.948,41.6485,47.4285,55.3687,1.0029046857366,15000,5000,20,500
"223",500,1000,50,0.4,0.358,0.942,38.9677,45.21935,53.2413,1.00118858525577,15000,5000,20,500
"224",500,1000,50,0.4,0.374,0.936,43.5104,50.93785,58.5908,0.999743227334551,15000,5000,20,500
"225",500,1000,50,0.4,0.394,0.958,38.2509,44.101,51.0718,1.00350079228654,15000,5000,20,500
"226",500,1000,50,0.4,0.35,0.946,39.7258,47.60145,54.6661,1.00332857650264,15000,5000,20,500
"227",500,1000,50,0.4,0.378,0.956,40.6765,46.8921,54.4472,1.00186239224475,15000,5000,20,500
"228",500,1000,50,0.4,0.354,0.956,45.4174,54.0159,62.6053,1.00367581061258,15000,5000,20,500
"229",500,1000,50,0.4,0.416,0.95,44.868,52.0625,60.4421,1.00224102787806,15000,5000,20,500
"230",500,1000,50,0.4,0.388,0.968,39.9821,47.16375,54.2236,1.00414376171762,15000,5000,20,500
"231",500,1000,50,0.4,0.358,0.958,42.9066,50.3348,58.6918,1.00101516137658,15000,5000,20,500
"232",500,1000,50,0.4,0.398,0.96,41.3999,48.03675,55.705,1.00008739055138,15000,5000,20,500
"233",500,1000,50,0.4,0.364,0.954,39.7439,45.91745,53.7334,1.00049108597208,15000,5000,20,500
"234",500,1000,50,0.4,0.378,0.946,44.5852,51.24535,59.4766,0.999555721977611,15000,5000,20,500
"235",500,1000,50,0.4,0.338,0.956,51.4073,60.8308,70.7241,0.99942692046845,15000,5000,20,500
"236",500,1000,50,0.4,0.356,0.95,39.2898,45.52785,53.0448,1.00027814757353,15000,5000,20,500
