"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"78",500,500,50,0.4,1,0.384,0.918,44.6776,52.6207,61.8562,1.00070860132336,15000,5000,20,500
"79",500,500,50,0.4,1,0.388,0.902,50.6402,60.85225,72.0385,0.999408134501178,15000,5000,20,500
"80",500,500,50,0.4,1,0.378,0.91,44.6433,52.62555,62.0332,1.00065913826102,15000,5000,20,500
"81",500,500,50,0.4,1,0.348,0.878,48.6995,58.54655,69.2491,1.00391605716063,15000,5000,20,500
"82",500,500,50,0.4,1,0.412,0.898,45.2923,52.57015,62.1164,1.00031978986722,15000,5000,20,500
"83",500,500,50,0.4,1,0.34,0.896,39.5774,46.7168,55.2049,1.00010488228331,15000,5000,20,500
"84",500,500,50,0.4,1,0.382,0.896,35.5743,41.8076,48.7303,0.999959395230838,15000,5000,20,500
"85",500,500,50,0.4,1,0.376,0.9,42.6636,50.08275,59.1353,0.999694779641505,15000,5000,20,500
"86",500,500,50,0.4,1,0.4,0.908,41.8163,49.0915,57.7382,1.00021714505022,15000,5000,20,500
"87",500,500,50,0.4,1,0.37,0.888,34.3244,40.3493,47.3905,0.999918344578553,15000,5000,20,500
"88",500,500,50,0.4,1,0.392,0.892,44.0247,50.49265,60.1681,0.999743610912642,15000,5000,20,500
"89",500,500,50,0.4,1,0.36,0.886,41.9037,49.68265,57.8405,1.0001315582116,15000,5000,20,500
"90",500,500,50,0.4,1,0.372,0.892,41.4553,49.4562,57.4282,1.00204120336456,15000,5000,20,500
"91",500,500,50,0.4,1,0.352,0.91,38.4578,46.3814,54.4366,1.00208135659511,15000,5000,20,500
"92",500,500,50,0.4,1,0.394,0.91,44.4325,52.76205,61.4062,1.00497158811355,15000,5000,20,500
"93",500,500,50,0.4,1,0.394,0.892,44.3944,52.16095,61.8045,1.00223224556183,15000,5000,20,500
"94",500,500,50,0.4,1,0.362,0.92,37.9695,44.59575,52.4144,1.00004572553215,15000,5000,20,500
"95",500,500,50,0.4,1,0.364,0.9,41.8701,49.71155,58.7596,1.00115356408573,15000,5000,20,500
"96",500,500,50,0.4,1,0.376,0.894,44.7215,52.8793,62.2465,1.00293503427081,15000,5000,20,500
"97",500,500,50,0.4,1,0.374,0.882,38.5168,45.3151,53.5008,1.00408771176887,15000,5000,20,500
"98",500,500,50,0.4,1,0.418,0.902,47.9893,55.48515,65.2877,1.00023807887266,15000,5000,20,500
"99",500,500,50,0.4,1,0.35,0.89,35.9501,42.78845,49.9695,1.00110885797519,15000,5000,20,500
"100",500,500,50,0.4,1,0.342,0.882,35.9058,43.56175,50.1413,1.0013753877295,15000,5000,20,500
"101",1000,500,50,0.4,1,0.392,0.9,41.7553,47.19665,52.3673,1.00119818246661,15000,5000,20,500
"102",1000,500,50,0.4,1,0.367,0.896,45.657,51.23855,57.3213,1.00122734841488,15000,5000,20,500
"103",1000,500,50,0.4,1,0.366,0.9,44.9188,50.58925,56.8952,1.00021383369206,15000,5000,20,500
