"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"96",500,500,50,0.4,0.364,0.922,46.6347,52.50495,58.0836,0.355872,0.3964015,0.444562,1.00114369622233,0.999652943384147,15000,5000,20,500
"97",500,500,50,0.4,0.338,0.91,38.0226,42.9699,47.8859,0.319542,0.3666995,0.409868,1.00172466129559,1.00093983245111,15000,5000,20,500
"98",500,500,50,0.4,0.348,0.926,44.6731,50.09,56.0761,0.337979,0.3782465,0.427324,0.999773414106511,1.00430881733617,15000,5000,20,500
"99",500,500,50,0.4,0.388,0.898,43.2869,47.6747,52.9457,0.376427,0.4212535,0.469179,1.00088268384162,1.0027614641864,15000,5000,20,500
"100",500,500,50,0.4,0.366,0.91,46.8925,52.2841,58.2265,0.357434,0.4050835,0.450266,1.00048242544976,1.00026479987618,15000,5000,20,500
"101",1000,500,50,0.4,0.366,0.931,44.2161,47.59375,51.3674,0.367104,0.3955805,0.428982,0.999507353635013,0.999820398400384,15000,5000,20,500
"102",1000,500,50,0.4,0.361,0.927,50.5128,54.30915,58.8104,0.361641,0.3935305,0.430133,1.00042433861585,0.999819925990668,15000,5000,20,500
"103",1000,500,50,0.4,0.407,0.925,49.7059,53.57565,57.5829,0.411077,0.4417185,0.474408,0.9997589950489,1.00050359446556,15000,5000,20,500
"104",1000,500,50,0.4,0.361,0.915,46.5158,50.30225,54.1794,0.364408,0.392049,0.427222,1.0014595469286,1.00030233179393,15000,5000,20,500
"105",1000,500,50,0.4,0.368,0.915,48.6873,52.71925,57.0246,0.373233,0.403229,0.436951,1.00451038929488,1.00004462657353,15000,5000,20,500
"106",1000,500,50,0.4,0.364,0.916,42.9411,46.7073,50.4139,0.362211,0.394696,0.427876,1.00330025837714,0.999878562212111,15000,5000,20,500
"107",1000,500,50,0.4,0.337,0.916,46.9512,50.87065,55.0435,0.3353,0.368775,0.397381,1.00682259277833,1.0017444162353,15000,5000,20,500
"108",1000,500,50,0.4,0.335,0.897,49.6909,53.9791,58.3504,0.337312,0.373964,0.402763,1.00086009733213,1.00004623494436,15000,5000,20,500
"109",1000,500,50,0.4,0.36,0.925,43.4283,46.7702,50.5393,0.352238,0.3864925,0.415,1.00099077989319,1.00030955822854,15000,5000,20,500
