"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"76",100,500,0.4,246.608297422063,0.26,0.54,113.42,266.183,548.128,0.273441,0.4774175,0.806424,1.05860543891876,1.08616756220308,15000,5000,20,500
"77",100,500,0.4,291.008802258875,0.26,0.57,174.218,410.4405,755.638,0.363045,0.6223315,0.971173,1.09962089846158,1.07891690021951,15000,5000,20,500
"78",100,500,0.4,71.3493254268542,0.35,0.81,54.2436,88.4636,137.188,0.308191,0.4295465,0.553614,1.01498558159234,1.01655176023572,15000,5000,20,500
"79",100,500,0.4,145.197707337793,0.38,0.79,59.5144,89.89535,145.014,0.341829,0.4613405,0.590093,1.00180730042324,1.00031444397676,15000,5000,20,500
"80",100,500,0.4,165.060436152853,0.24,0.59,69.5437,166.151,503.299,0.205823,0.361226,0.713856,1.08427065454761,1.0976091745849,35000,5000,20,1500
"81",100,500,0.4,81.4498862042092,0.34,0.79,57.1782,93.9081,151.331,0.304233,0.4246965,0.555049,1.00956028485312,1.00610279408303,15000,5000,20,500
"82",100,500,0.4,16.2993349903263,0.41,0.99,12.6288,17.5924,23.9153,0.333648,0.423275,0.523576,0.999822978393313,1.00015905004308,15000,5000,20,500
"83",100,500,0.4,74.6211081254296,0.3,0.81,46.2505,73.6568,113.1,0.24225,0.350152,0.453798,1.00275356087906,1.00174920370364,15000,5000,20,500
"84",100,500,0.4,268.823266152758,0.23,0.59,105.32,373.115,875.858,0.254494,0.519084,0.939392,1.08624618892171,1.08958987325524,25000,5000,20,1000
"85",100,500,0.4,240.512014145497,0.23,0.59,96.0227,253.5185,769.043,0.228763,0.4164575,0.881499,1.04258922657361,1.03366288659984,25000,5000,20,1000
"86",100,500,0.4,136.180234518833,0.28,0.79,86.8816,159.752,339.506,0.273483,0.4338195,0.654628,1.07169700892244,1.05912804870321,15000,5000,20,500
"87",100,500,0.4,78.7628944101743,0.43,0.86,53.1294,80.63055,116.568,0.397511,0.5077245,0.626381,1.00016827269209,1.00009856638457,15000,5000,20,500
"88",100,500,0.4,218.981364942156,0.25,0.57,78.4186,167.7275,351.906,0.221822,0.3774035,0.577689,1.09378638619431,1.0867593152648,15000,5000,20,500
"89",100,500,0.4,185.450120654423,0.31,0.68,123.331,321.4435,614.628,0.411616,0.6322275,0.990034,1.00651567065568,1.00411262925341,25000,5000,20,1000
