Replicate,N,LEN,PHI,delta,Pcap,Pstay,delta_lower,delta_med,delta_upper,phi_lower,phi_med,phi_upper,R_hat_delta,R_hat_phi,MCMCiter,Burn_in,N_thin,N_sample,model
72,100,500,0.4,48.83083539,0.36,0.85,27.4809,40.7277,56.5517,0.311824,0.406161,0.519511,1.00916368,1.000991627,15000,5000,20,500,disp_obs
73,100,500,0.4,85.72025177,0.33,0.82,62.6044,114.388,214.786,0.290155,0.4330575,0.592189,1.07845241,1.087284937,15000,5000,20,500,disp_obs
74,100,500,0.4,115.326322,0.28,0.73,57.4048,114.209,230.757,0.248356,0.380838,0.546159,1.007471828,1.004191525,15000,5000,20,500,disp_obs
75,100,500,0.4,111.4540155,0.32,0.83,43.2638,70.7965,110.205,0.26751,0.3723435,0.487771,1.020928125,1.006208693,15000,5000,20,500,disp_obs
76,100,500,0.4,246.6082974,0.26,0.54,113.42,266.183,548.128,0.273441,0.4774175,0.806424,1.058605439,1.086167562,15000,5000,20,500,disp_obs
77,100,500,0.4,291.0088023,0.26,0.57,174.218,410.4405,755.638,0.363045,0.6223315,0.971173,1.099620898,1.0789169,15000,5000,20,500,disp_obs
78,100,500,0.4,71.34932543,0.35,0.81,54.2436,88.4636,137.188,0.308191,0.4295465,0.553614,1.014985582,1.01655176,15000,5000,20,500,disp_obs
79,100,500,0.4,145.1977073,0.38,0.79,59.5144,89.89535,145.014,0.341829,0.4613405,0.590093,1.0018073,1.000314444,15000,5000,20,500,disp_obs
80,100,500,0.4,165.0604362,0.24,0.59,69.5437,166.151,503.299,0.205823,0.361226,0.713856,1.084270655,1.097609175,35000,5000,20,1500,disp_obs
81,100,500,0.4,81.4498862,0.34,0.79,57.1782,93.9081,151.331,0.304233,0.4246965,0.555049,1.009560285,1.006102794,15000,5000,20,500,disp_obs
82,100,500,0.4,16.29933499,0.41,0.99,12.6288,17.5924,23.9153,0.333648,0.423275,0.523576,0.999822978,1.00015905,15000,5000,20,500,disp_obs
83,100,500,0.4,74.62110813,0.3,0.81,46.2505,73.6568,113.1,0.24225,0.350152,0.453798,1.002753561,1.001749204,15000,5000,20,500,disp_obs
84,100,500,0.4,268.8232662,0.23,0.59,105.32,373.115,875.858,0.254494,0.519084,0.939392,1.086246189,1.089589873,25000,5000,20,1000,disp_obs
85,100,500,0.4,240.5120141,0.23,0.59,96.0227,253.5185,769.043,0.228763,0.4164575,0.881499,1.042589227,1.033662887,25000,5000,20,1000,disp_obs
86,100,500,0.4,136.1802345,0.28,0.79,86.8816,159.752,339.506,0.273483,0.4338195,0.654628,1.071697009,1.059128049,15000,5000,20,500,disp_obs
87,100,500,0.4,78.76289441,0.43,0.86,53.1294,80.63055,116.568,0.397511,0.5077245,0.626381,1.000168273,1.000098566,15000,5000,20,500,disp_obs
88,100,500,0.4,218.9813649,0.25,0.57,78.4186,167.7275,351.906,0.221822,0.3774035,0.577689,1.093786386,1.086759315,15000,5000,20,500,disp_obs
89,100,500,0.4,185.4501207,0.31,0.68,123.331,321.4435,614.628,0.411616,0.6322275,0.990034,1.006515671,1.004112629,25000,5000,20,1000,disp_obs
90,100,500,0.4,11.4010137,0.36,0.98,6.08899,8.893825,12.0214,0.275084,0.365369,0.469806,0.999280618,1.001733346,15000,5000,20,500,disp_obs
91,100,500,0.4,274.5487906,0.19,0.49,121.216,491.801,1106.87,0.236903,0.5096745,0.956689,1.057410346,1.040221251,45000,5000,20,2000,disp_obs
92,100,500,0.4,114.4747718,0.35,0.77,57.9634,93.04645,155.617,0.325702,0.4517955,0.591296,1.023992445,1.004871828,15000,5000,20,500,disp_obs
93,100,500,0.4,203.1633541,0.18,0.58,104.062,451.1305,1140.2,0.197513,0.4618605,0.930425,1.075733962,1.078274501,85000,5000,20,4000,disp_obs
94,100,500,0.4,180.3719268,0.31,0.61,74.9712,130.2415,217.178,0.294023,0.4256595,0.58289,1.02969872,1.005151076,15000,5000,20,500,disp_obs
95,100,500,0.4,78.29544333,0.34,0.89,50.301,80.3621,122.733,0.293483,0.396126,0.512892,1.01118434,1.004005864,15000,5000,20,500,disp_obs
96,100,500,0.4,271.2259453,0.19,0.54,287.688,811.8825,1470.78,0.38315,0.7265405,0.999955,1.049843394,1.0520416,25000,5000,20,1000,disp_obs
97,100,500,0.4,101.7192259,0.3,0.81,63.9334,119.097,212.561,0.267762,0.408001,0.560393,1.064427883,1.042392699,25000,5000,20,1000,disp_obs
98,100,500,0.4,270.3083917,0.21,0.43,81.2642,231.607,711.058,0.186647,0.3753825,0.775326,1.063387988,1.06699097,35000,5000,20,1500,disp_obs
99,100,500,0.4,290.5483698,0.29,0.61,176.347,443.9045,790.726,0.455589,0.7293335,0.998259,1.017146625,1.005736619,25000,5000,20,1000,disp_obs
100,100,500,0.4,277.1932782,0.19,0.61,216.802,617.1855,1381.07,0.321061,0.6206995,0.999987,1.031094554,1.024601504,25000,5000,20,1000,disp_obs
101,500,500,0.4,176.6492163,0.274,0.672,101.18,137.24,187.082,0.302324,0.372292,0.440982,1.091615484,1.044576188,25000,5000,20,1000,disp_obs
102,500,500,0.4,89.99410189,0.346,0.812,65.3077,79.25565,96.161,0.363756,0.4147115,0.465027,1.00027392,1.001274723,15000,5000,20,500,disp_obs
103,500,500,0.4,131.0306843,0.304,0.714,86.2781,108.3755,138.353,0.335822,0.3868375,0.449038,1.019483952,1.007238727,15000,5000,20,500,disp_obs
104,500,500,0.4,57.46223627,0.346,0.896,47.9755,57.45455,68.1512,0.344182,0.3862745,0.437828,1.000248464,0.999299526,15000,5000,20,500,disp_obs
105,500,500,0.4,259.5765106,0.216,0.592,170.633,287.9145,500.243,0.29509,0.41273,0.606996,1.031514075,1.032552403,35000,5000,20,1500,disp_obs
106,500,500,0.4,228.8338901,0.212,0.564,163.106,295.8595,543.099,0.272805,0.4131415,0.617603,1.02678746,1.043470832,45000,5000,20,2000,disp_obs
107,500,500,0.4,53.33784174,0.354,0.894,41.8648,51.4846,60.0554,0.345257,0.391119,0.439836,1.00191999,1.002854741,15000,5000,20,500,disp_obs
108,500,500,0.4,27.27127502,0.35,0.938,22.638,26.7825,31.1778,0.329205,0.372881,0.417148,0.999399893,0.999788644,15000,5000,20,500,disp_obs
109,500,500,0.4,262.6497405,0.234,0.55,170.133,273.171,433.025,0.323547,0.437248,0.586033,1.07447283,1.048001978,15000,5000,20,500,disp_obs
110,500,500,0.4,142.7696921,0.28,0.736,110.428,152.9225,207.468,0.330136,0.39603,0.47628,1.03823322,1.014740315,25000,5000,20,1000,disp_obs
111,500,500,0.4,234.9696973,0.246,0.598,154.61,308.3885,620.373,0.354514,0.493985,0.833135,1.029691614,1.033795206,25000,5000,20,1000,disp_obs
112,500,500,0.4,76.24598949,0.308,0.846,66.4975,82.8734,101.285,0.322398,0.371019,0.426233,1.013220731,0.999584313,15000,5000,20,500,disp_obs
113,500,500,0.4,199.340359,0.246,0.61,186.842,351.769,652.266,0.354612,0.5325595,0.823786,1.082712339,1.089274508,55000,5000,20,2500,disp_obs
114,500,500,0.4,153.9720159,0.306,0.702,118.531,167.5035,226.735,0.374696,0.4501615,0.544841,1.080500526,1.05733451,25000,5000,20,1000,disp_obs
115,500,500,0.4,188.3177302,0.278,0.658,132.47,194.474,265.328,0.349672,0.436053,0.531803,1.021060091,1.01499447,25000,5000,20,1000,disp_obs
116,500,500,0.4,27.07487722,0.362,0.936,23.1053,27.0483,31.2643,0.337031,0.386631,0.429459,1.003187152,1.000238018,15000,5000,20,500,disp_obs
117,500,500,0.4,191.805798,0.208,0.64,120.384,174.473,238.313,0.252447,0.31135,0.382849,1.038352129,1.008483402,15000,5000,20,500,disp_obs
118,500,500,0.4,38.96380154,0.358,0.922,33.0444,38.90405,45.0734,0.342862,0.3912705,0.431588,0.999465683,1.003996709,15000,5000,20,500,disp_obs
119,500,500,0.4,132.0325507,0.326,0.788,112.136,143.881,180.567,0.389708,0.4559695,0.52603,1.006362336,1.001303005,15000,5000,20,500,disp_obs
120,500,500,0.4,69.10844285,0.34,0.852,54.4921,65.1051,79.1541,0.344316,0.391342,0.440718,0.99943255,0.999584516,15000,5000,20,500,disp_obs
121,500,500,0.4,274.026092,0.228,0.564,187.483,277.1565,385.664,0.322006,0.427634,0.538746,1.047636405,1.037810594,15000,5000,20,500,disp_obs
122,500,500,0.4,230.2465889,0.258,0.604,216.116,417.278,702.637,0.425585,0.626897,0.937633,1.010841934,1.009817331,25000,5000,20,1000,disp_obs
123,500,500,0.4,55.63292617,0.416,0.888,43.3786,50.19825,58.3894,0.413262,0.464631,0.512125,1.003316202,1.000779561,15000,5000,20,500,disp_obs
124,500,500,0.4,149.9387917,0.274,0.698,126.216,167.349,217.341,0.333484,0.4011355,0.475812,1.025212181,1.015697666,15000,5000,20,500,disp_obs
125,500,500,0.4,182.6298971,0.274,0.678,183.537,277.405,427.651,0.393901,0.514188,0.694973,1.068174513,1.091725396,25000,5000,20,1000,disp_obs
126,500,500,0.4,193.5239251,0.234,0.628,175.306,260.1155,400.797,0.310689,0.4191675,0.562365,1.067973916,1.03608956,15000,5000,20,500,disp_obs
127,500,500,0.4,104.0282021,0.334,0.816,90.8907,111.5555,143.376,0.371726,0.42625,0.492099,1.016575791,1.003262111,15000,5000,20,500,disp_obs
128,500,500,0.4,273.1877196,0.22,0.53,233.107,425.2825,796.303,0.347957,0.5370565,0.861561,1.042462351,1.038235159,35000,5000,20,1500,disp_obs
129,500,500,0.4,101.8716418,0.308,0.794,68.0592,85.5334,101.435,0.322955,0.3782285,0.43003,1.000897595,1.002085588,15000,5000,20,500,disp_obs
130,500,500,0.4,77.91388523,0.334,0.854,67.3103,82.05705,99.7806,0.350363,0.401778,0.45273,1.004636646,1.000429639,15000,5000,20,500,disp_obs
131,500,500,0.4,96.9614285,0.338,0.842,79.4812,99.4311,122.614,0.369459,0.421253,0.480157,1.002861434,1.001334233,15000,5000,20,500,disp_obs
132,500,500,0.4,81.07374402,0.33,0.852,66.3027,82.74875,100.1,0.349473,0.396326,0.455467,1.017207015,1.001909558,15000,5000,20,500,disp_obs
133,500,500,0.4,233.6184303,0.242,0.59,151.593,228.1365,335.895,0.319429,0.4092875,0.531223,1.089123434,1.079365668,25000,5000,20,1000,disp_obs
134,500,500,0.4,255.993926,0.256,0.56,165.42,307.1015,681.891,0.355492,0.5079535,0.904082,1.047564264,1.066253008,65000,5000,20,3000,disp_obs
135,500,500,0.4,105.7838645,0.332,0.778,105.74,135.0435,189.566,0.392997,0.460287,0.543474,1.062483409,1.039250397,15000,5000,20,500,disp_obs
136,500,500,0.4,272.8291628,0.216,0.542,197.048,311.1135,442.665,0.317074,0.433485,0.560407,1.069838161,1.048395619,15000,5000,20,500,disp_obs
137,500,500,0.4,54.5216053,0.356,0.896,48.5733,57.8547,67.4668,0.355004,0.400028,0.449485,1.000074308,1.003417245,15000,5000,20,500,disp_obs
138,500,500,0.4,175.9316795,0.26,0.68,170.635,286.6005,489.341,0.362259,0.5016775,0.710698,1.061066861,1.046200482,25000,5000,20,1000,disp_obs
139,500,500,0.4,59.70764153,0.354,0.854,48.31,57.136,68.531,0.357252,0.403341,0.452736,0.999479302,0.999572448,15000,5000,20,500,disp_obs
140,500,500,0.4,299.3377927,0.212,0.49,225.799,455.917,826.864,0.336908,0.5430025,0.867437,1.077507763,1.088647811,115000,5000,20,5500,disp_obs
141,500,500,0.4,178.9794642,0.282,0.656,128.14,172.305,223.138,0.34606,0.420584,0.494397,1.020516358,1.015897635,15000,5000,20,500,disp_obs
142,500,500,0.4,160.7895335,0.272,0.702,124.709,187.9075,260.598,0.343387,0.417929,0.522578,1.070519132,1.033079923,15000,5000,20,500,disp_obs
143,500,500,0.4,85.23143965,0.334,0.828,56.6709,68.6342,82.43,0.341656,0.3829045,0.432007,1.002513332,0.999499921,15000,5000,20,500,disp_obs
144,500,500,0.4,163.1189198,0.286,0.698,103.958,132.9455,171.197,0.32754,0.390736,0.455191,1.041757196,1.018603137,15000,5000,20,500,disp_obs
145,500,500,0.4,97.35309219,0.33,0.816,83.3551,103.4825,127.217,0.35959,0.415405,0.471335,1.007069801,1.002171637,15000,5000,20,500,disp_obs
146,500,500,0.4,94.07812642,0.33,0.784,89.633,116.428,151.398,0.36578,0.430234,0.497651,1.008471484,1.005352238,15000,5000,20,500,disp_obs
147,500,500,0.4,96.63271617,0.346,0.79,85.5989,103.6125,129.334,0.384294,0.439693,0.499044,1.010035978,1.003105889,15000,5000,20,500,disp_obs
148,500,500,0.4,246.6201182,0.228,0.55,121.899,169.0585,262.178,0.274846,0.341193,0.431145,1.083853758,1.047711454,15000,5000,20,500,disp_obs
149,500,500,0.4,64.78130066,0.33,0.866,55.803,67.21765,79.6837,0.337719,0.3843845,0.432922,1.008718336,1.000820142,15000,5000,20,500,disp_obs
150,500,500,0.4,69.63263761,0.37,0.882,63.4559,76.77645,90.3073,0.390705,0.437585,0.490952,1.005170079,1.001770093,15000,5000,20,500,disp_obs
151,500,500,0.4,129.2672052,0.356,0.776,104.917,133.379,168.924,0.418179,0.482454,0.557097,1.006712644,1.003364171,15000,5000,20,500,disp_obs
152,500,500,0.4,64.16159841,0.362,0.892,46.3056,54.71975,64.9877,0.358713,0.403532,0.450105,1.003104661,0.999941754,15000,5000,20,500,disp_obs
153,500,500,0.4,115.6460835,0.316,0.742,100.381,132.278,169.173,0.363906,0.426113,0.492706,1.081331231,1.014117948,15000,5000,20,500,disp_obs
154,500,500,0.4,298.7583773,0.198,0.502,165.088,266.35,422.862,0.268457,0.3640095,0.50856,1.067889684,1.057979202,25000,5000,20,1000,disp_obs
155,500,500,0.4,116.6242939,0.312,0.794,98.7109,128.0815,169.33,0.356709,0.4203585,0.494184,1.020367336,1.008918327,15000,5000,20,500,disp_obs
156,500,500,0.4,154.8256127,0.28,0.706,111.746,155.878,224.461,0.338989,0.4030885,0.491494,1.061386358,1.032311269,15000,5000,20,500,disp_obs
157,500,500,0.4,229.3645232,0.206,0.536,120.357,165.49,239.443,0.242986,0.30351,0.374866,1.035837378,1.016385426,15000,5000,20,500,disp_obs
158,500,500,0.4,171.5504381,0.256,0.674,169.309,265.9275,396.512,0.348028,0.4696795,0.614056,1.073476566,1.052171226,15000,5000,20,500,disp_obs
159,500,500,0.4,146.9224974,0.274,0.716,112.546,152.2885,204.995,0.315842,0.388346,0.458481,1.001696984,1.000125771,15000,5000,20,500,disp_obs
160,500,500,0.4,278.724283,0.208,0.548,185.59,320.524,547.708,0.290176,0.4251995,0.618765,1.06791717,1.07572403,65000,5000,20,3000,disp_obs
161,500,500,0.4,283.3699871,0.196,0.546,142.199,209.991,315.152,0.248935,0.3198515,0.409496,1.023787348,1.015603196,15000,5000,20,500,disp_obs
162,500,500,0.4,57.49129739,0.314,0.896,43.6746,51.5324,61.7405,0.306823,0.351903,0.396007,1.000859841,0.999755004,15000,5000,20,500,disp_obs
163,500,500,0.4,189.3470223,0.26,0.648,144.561,205.0245,292.356,0.329609,0.4180235,0.522422,1.055647883,1.026499915,15000,5000,20,500,disp_obs
164,500,500,0.4,135.0274845,0.3,0.724,106.691,143.2705,181.386,0.351598,0.4143445,0.48673,1.060269671,1.02140872,15000,5000,20,500,disp_obs
165,500,500,0.4,258.3820302,0.218,0.544,155.826,246.599,437.322,0.288797,0.385001,0.557286,1.088637307,1.071071642,35000,5000,20,1500,disp_obs
166,500,500,0.4,142.8820892,0.294,0.746,116.067,153.0265,199.176,0.350122,0.414454,0.488455,1.024405219,1.008626649,15000,5000,20,500,disp_obs
167,500,500,0.4,236.9685181,0.226,0.568,136.01,215.0165,349.689,0.282281,0.3760365,0.503337,1.085292032,1.084271316,45000,5000,20,2000,disp_obs
168,500,500,0.4,168.0059705,0.232,0.646,109.711,148.3015,195.706,0.27361,0.333174,0.394788,1.031622386,1.012596716,15000,5000,20,500,disp_obs
