Replicate,N,LEN,PHI,delta,Pcap,Pstay,delta_lower,delta_med,delta_upper,phi_lower,phi_med,phi_upper,R_hat_delta,R_hat_phi,MCMCiter,Burn_in,N_thin,N_sample,model
399,100,1000,0.4,200.1460552,0.26,0.77,95.0009,146.232,209.959,NA,NA,NA,0.999968621,NA,15000,5000,20,500,simple
400,100,1000,0.4,40.82361129,0.4,0.93,33.2424,45.8804,61.4726,NA,NA,NA,0.999462978,NA,15000,5000,20,500,simple
401,500,1000,0.4,268.190528,0.266,0.756,160.173,191.8075,224.791,NA,NA,NA,1.0001924,NA,15000,5000,20,500,simple
402,500,1000,0.4,152.1306596,0.32,0.846,107.373,127.629,147.151,NA,NA,NA,1.000029404,NA,15000,5000,20,500,simple
403,500,1000,0.4,199.0071013,0.298,0.804,129.052,150.1075,177.119,NA,NA,NA,1.000492962,NA,15000,5000,20,500,simple
404,500,1000,0.4,24.29428528,0.416,0.982,20.6018,23.9044,26.9329,NA,NA,NA,0.99960264,NA,15000,5000,20,500,simple
405,500,1000,0.4,94.91074713,0.344,0.896,72.3133,85.00145,98.3278,NA,NA,NA,1.001964783,NA,15000,5000,20,500,simple
406,500,1000,0.4,53.99736294,0.362,0.956,46.6843,54.4808,62.0002,NA,NA,NA,1.001199352,NA,15000,5000,20,500,simple
407,500,1000,0.4,26.37715858,0.406,0.96,21.1867,24.25725,27.8833,NA,NA,NA,0.999619459,NA,15000,5000,20,500,simple
408,500,1000,0.4,250.3507672,0.312,0.744,157.507,183.502,212.084,NA,NA,NA,1.00057883,NA,15000,5000,20,500,simple
409,500,1000,0.4,266.8848937,0.314,0.744,124.469,148.5985,171.958,NA,NA,NA,1.000824872,NA,15000,5000,20,500,simple
410,500,1000,0.4,162.3072385,0.324,0.836,114.183,133.537,155.172,NA,NA,NA,1.002870975,NA,15000,5000,20,500,simple
411,500,1000,0.4,193.1015561,0.314,0.82,120.699,145.3105,167.568,NA,NA,NA,1.004434616,NA,15000,5000,20,500,simple
412,500,1000,0.4,147.1281834,0.37,0.862,99.4491,116.073,131.922,NA,NA,NA,0.999768408,NA,15000,5000,20,500,simple
413,500,1000,0.4,100.867297,0.35,0.892,80.3894,93.2461,106.945,NA,NA,NA,0.999882748,NA,15000,5000,20,500,simple
414,500,1000,0.4,228.2893556,0.288,0.814,154.483,182.4885,214.66,NA,NA,NA,1.002430845,NA,15000,5000,20,500,simple
415,500,1000,0.4,45.65936496,0.374,0.948,35.0024,40.44045,46.8121,NA,NA,NA,1.002163213,NA,15000,5000,20,500,simple
416,500,1000,0.4,278.4786659,0.278,0.726,149.458,179.757,211.848,NA,NA,NA,1.000636644,NA,15000,5000,20,500,simple
417,500,1000,0.4,194.3543198,0.35,0.846,130.363,152.37,175.088,NA,NA,NA,1.000880432,NA,15000,5000,20,500,simple
418,500,1000,0.4,14.9915309,0.39,0.984,13.3294,15.4392,17.5925,NA,NA,NA,1.003404351,NA,15000,5000,20,500,simple
419,500,1000,0.4,262.8086139,0.322,0.756,154.062,178.603,208.259,NA,NA,NA,1.003176503,NA,15000,5000,20,500,simple
420,500,1000,0.4,52.03187321,0.4,0.944,46.5874,53.5992,61.1377,NA,NA,NA,1.005756495,NA,15000,5000,20,500,simple
421,500,1000,0.4,167.2065994,0.332,0.85,104.254,122.2335,142.112,NA,NA,NA,1.00209963,NA,15000,5000,20,500,simple
422,500,1000,0.4,163.9731559,0.322,0.844,136.433,158.022,185.326,NA,NA,NA,0.999841215,NA,15000,5000,20,500,simple
423,500,1000,0.4,41.80544574,0.382,0.97,34.595,40.19375,45.7053,NA,NA,NA,1.003528154,NA,15000,5000,20,500,simple
424,500,1000,0.4,196.0503028,0.344,0.81,108.396,127.92,146.822,NA,NA,NA,0.999670413,NA,15000,5000,20,500,simple
425,500,1000,0.4,114.8526222,0.36,0.904,84.7402,98.08575,113.127,NA,NA,NA,1.001202605,NA,15000,5000,20,500,simple
426,500,1000,0.4,210.7935395,0.332,0.81,124.606,145.1755,168.619,NA,NA,NA,1.001208385,NA,15000,5000,20,500,simple
427,500,1000,0.4,234.5599937,0.314,0.802,130.105,151.197,174.7,NA,NA,NA,1.000005624,NA,15000,5000,20,500,simple
428,500,1000,0.4,273.2888552,0.282,0.728,156.127,185.6225,217.668,NA,NA,NA,1.000390398,NA,15000,5000,20,500,simple
429,500,1000,0.4,171.192702,0.33,0.82,117.682,137.889,159.208,NA,NA,NA,0.99978339,NA,15000,5000,20,500,simple
430,500,1000,0.4,200.0874921,0.334,0.816,147.418,170.214,197.968,NA,NA,NA,1.004131015,NA,15000,5000,20,500,simple
431,500,1000,0.4,33.23010576,0.378,0.97,26.8579,30.8465,35.3609,NA,NA,NA,0.99995666,NA,15000,5000,20,500,simple
432,500,1000,0.4,25.95258799,0.38,0.97,20.5049,23.8552,27.4688,NA,NA,NA,1.001123581,NA,15000,5000,20,500,simple
433,500,1000,0.4,271.2905691,0.308,0.724,176.214,207.045,242.255,NA,NA,NA,1.002225135,NA,15000,5000,20,500,simple
434,500,1000,0.4,20.15260473,0.43,0.974,15.8754,18.233,20.4929,NA,NA,NA,0.999798651,NA,15000,5000,20,500,simple
435,500,1000,0.4,36.86908325,0.388,0.96,32.403,36.8269,42.424,NA,NA,NA,1.000149595,NA,15000,5000,20,500,simple
436,500,1000,0.4,86.48620378,0.39,0.898,66.9743,77.4045,88.5052,NA,NA,NA,0.999462633,NA,15000,5000,20,500,simple
437,500,1000,0.4,48.60266719,0.422,0.962,41.1403,47.38345,54.0244,NA,NA,NA,1.002938824,NA,15000,5000,20,500,simple
438,500,1000,0.4,62.33546241,0.372,0.916,54.9955,63.4879,72.9671,NA,NA,NA,1.000820434,NA,15000,5000,20,500,simple
439,500,1000,0.4,209.4596004,0.334,0.8,127.254,150.2005,172.664,NA,NA,NA,1.001864982,NA,15000,5000,20,500,simple
440,500,1000,0.4,281.7452583,0.286,0.714,142.616,166.388,195.601,NA,NA,NA,1.002229478,NA,15000,5000,20,500,simple
441,500,1000,0.4,65.10744112,0.394,0.948,58.1971,67.1142,76.2291,NA,NA,NA,1.005876383,NA,15000,5000,20,500,simple
442,500,1000,0.4,121.7298112,0.336,0.874,98.417,114.834,133.375,NA,NA,NA,0.999657205,NA,15000,5000,20,500,simple
443,500,1000,0.4,94.43882536,0.336,0.912,76.2491,88.61135,102.919,NA,NA,NA,0.999773774,NA,15000,5000,20,500,simple
444,500,1000,0.4,64.01137977,0.388,0.93,55.4268,64.20475,73.8812,NA,NA,NA,1.002597378,NA,15000,5000,20,500,simple
445,500,1000,0.4,21.07925199,0.392,0.978,16.4378,18.935,21.6009,NA,NA,NA,1.001167575,NA,15000,5000,20,500,simple
446,500,1000,0.4,271.0386074,0.29,0.748,183.346,216.542,251.104,NA,NA,NA,1.001571283,NA,15000,5000,20,500,simple
447,500,1000,0.4,222.4023845,0.346,0.786,137.568,160.681,185.634,NA,NA,NA,1.002806695,NA,15000,5000,20,500,simple
448,500,1000,0.4,206.3170432,0.318,0.802,147.947,174.0035,201.257,NA,NA,NA,1.002897381,NA,15000,5000,20,500,simple
449,500,1000,0.4,108.0917731,0.33,0.888,86.0144,99.3236,115.704,NA,NA,NA,0.999907958,NA,15000,5000,20,500,simple
450,500,1000,0.4,30.5816424,0.394,0.962,27.6514,31.77725,36.3109,NA,NA,NA,1.002122291,NA,15000,5000,20,500,simple
451,500,1000,0.4,165.4723266,0.322,0.818,124.74,148.977,171.175,NA,NA,NA,0.999581998,NA,15000,5000,20,500,simple
452,500,1000,0.4,212.4257238,0.336,0.82,143.16,166.6195,192.481,NA,NA,NA,0.999114372,NA,15000,5000,20,500,simple
453,500,1000,0.4,110.0229954,0.334,0.896,76.0735,87.846,101.715,NA,NA,NA,1.001817379,NA,15000,5000,20,500,simple
454,500,1000,0.4,265.1978222,0.294,0.754,133.612,158.987,184.939,NA,NA,NA,1.000547739,NA,15000,5000,20,500,simple
455,500,1000,0.4,254.1391855,0.29,0.778,159.483,194.0965,224.562,NA,NA,NA,1.001332985,NA,15000,5000,20,500,simple
456,500,1000,0.4,57.38652658,0.372,0.952,49.6278,57.57185,65.715,NA,NA,NA,1.005427133,NA,15000,5000,20,500,simple
457,500,1000,0.4,202.4789083,0.334,0.8,124.611,145.4915,169.629,NA,NA,NA,1.001662452,NA,15000,5000,20,500,simple
458,500,1000,0.4,263.5693621,0.294,0.748,138.733,163.3665,190.618,NA,NA,NA,1.004148457,NA,15000,5000,20,500,simple
459,500,1000,0.4,164.3926063,0.358,0.858,127.379,148.1625,172.299,NA,NA,NA,1.002472091,NA,15000,5000,20,500,simple
460,500,1000,0.4,100.9979255,0.382,0.904,73.36,85.07295,97.6729,NA,NA,NA,0.999745554,NA,15000,5000,20,500,simple
461,500,1000,0.4,262.1527136,0.264,0.732,148.261,178.1185,210.433,NA,NA,NA,1.000587126,NA,15000,5000,20,500,simple
462,500,1000,0.4,263.6347808,0.288,0.734,169.988,197.11,232.036,NA,NA,NA,0.999883956,NA,15000,5000,20,500,simple
463,500,1000,0.4,130.3193232,0.358,0.886,97.8243,116.312,132.067,NA,NA,NA,0.999597837,NA,15000,5000,20,500,simple
464,500,1000,0.4,20.21313525,0.392,0.984,21.0213,24.09025,27.8382,NA,NA,NA,1.001997735,NA,15000,5000,20,500,simple
465,500,1000,0.4,117.5718446,0.356,0.888,88.6953,103.13,119.266,NA,NA,NA,1.00129386,NA,15000,5000,20,500,simple
466,500,1000,0.4,269.1231962,0.278,0.752,174.238,206.488,242.778,NA,NA,NA,1.000136395,NA,15000,5000,20,500,simple
467,500,1000,0.4,205.5358869,0.326,0.79,117.231,135.869,159.489,NA,NA,NA,1.002095467,NA,15000,5000,20,500,simple
468,500,1000,0.4,187.1488378,0.334,0.81,133.941,155.9325,180.813,NA,NA,NA,1.000055197,NA,15000,5000,20,500,simple
469,500,1000,0.4,269.0131591,0.268,0.724,159.807,190.1775,225.232,NA,NA,NA,1.001253013,NA,15000,5000,20,500,simple
470,500,1000,0.4,227.8833233,0.324,0.774,148.853,173.929,202.811,NA,NA,NA,1.002091825,NA,15000,5000,20,500,simple
471,500,1000,0.4,272.8704576,0.266,0.724,139.775,167.489,196.265,NA,NA,NA,0.999891345,NA,15000,5000,20,500,simple
472,500,1000,0.4,136.4878132,0.356,0.85,80.5359,93.5438,108.13,NA,NA,NA,1.000151647,NA,15000,5000,20,500,simple
473,500,1000,0.4,236.3209712,0.278,0.752,165.114,194.077,228.197,NA,NA,NA,1.002687306,NA,15000,5000,20,500,simple
474,500,1000,0.4,105.152334,0.36,0.9,76.1439,87.83065,101.207,NA,NA,NA,1.000170024,NA,15000,5000,20,500,simple
475,500,1000,0.4,135.3074255,0.37,0.868,101.105,116.5455,135.464,NA,NA,NA,1.000675169,NA,15000,5000,20,500,simple
476,500,1000,0.4,42.80115735,0.384,0.958,32.2025,37.21955,42.9253,NA,NA,NA,1.002361276,NA,15000,5000,20,500,simple
477,500,1000,0.4,61.04384868,0.332,0.948,48.2313,56.0642,64.7344,NA,NA,NA,0.999813954,NA,15000,5000,20,500,simple
478,500,1000,0.4,68.78372889,0.346,0.948,56.6669,66.48405,76.2557,NA,NA,NA,0.999556975,NA,15000,5000,20,500,simple
479,500,1000,0.4,107.1575123,0.372,0.884,82.8646,93.6944,108.516,NA,NA,NA,1.000845263,NA,15000,5000,20,500,simple
480,500,1000,0.4,265.5079334,0.276,0.728,153.937,182.616,214.417,NA,NA,NA,1.005723351,NA,15000,5000,20,500,simple
481,500,1000,0.4,238.610562,0.296,0.738,154.393,181.7555,212.67,NA,NA,NA,1.003660523,NA,15000,5000,20,500,simple
482,500,1000,0.4,150.1449942,0.358,0.844,110.722,128.771,148.322,NA,NA,NA,1.002079404,NA,15000,5000,20,500,simple
483,500,1000,0.4,293.0594141,0.27,0.686,147.049,173.4305,204.973,NA,NA,NA,0.999612067,NA,15000,5000,20,500,simple
484,500,1000,0.4,225.2530723,0.308,0.754,147.75,174.1465,202.343,NA,NA,NA,1.000687005,NA,15000,5000,20,500,simple
485,500,1000,0.4,106.4563738,0.386,0.9,76.2898,88.67205,101.182,NA,NA,NA,1.002240784,NA,15000,5000,20,500,simple
486,500,1000,0.4,191.6271771,0.328,0.8,122.136,142.0465,165.455,NA,NA,NA,1.000468578,NA,15000,5000,20,500,simple
487,500,1000,0.4,24.94317072,0.4,0.984,18.3526,21.19485,24.213,NA,NA,NA,0.999345612,NA,15000,5000,20,500,simple
488,500,1000,0.4,99.08116207,0.328,0.916,75.0303,87.1261,100.928,NA,NA,NA,0.999828571,NA,15000,5000,20,500,simple
489,500,1000,0.4,225.3211139,0.298,0.772,146.086,174.589,201.118,NA,NA,NA,0.999833246,NA,15000,5000,20,500,simple
490,500,1000,0.4,188.8577851,0.3,0.806,122.438,144.279,166.91,NA,NA,NA,0.999659092,NA,15000,5000,20,500,simple
491,500,1000,0.4,136.4609845,0.346,0.89,98.4944,114.48,133.041,NA,NA,NA,1.002883048,NA,15000,5000,20,500,simple
492,500,1000,0.4,106.7843723,0.352,0.906,77.0946,89.1813,103.296,NA,NA,NA,1.000397616,NA,15000,5000,20,500,simple
493,500,1000,0.4,53.55743007,0.344,0.958,46.1129,53.5307,61.635,NA,NA,NA,0.999893726,NA,15000,5000,20,500,simple
494,500,1000,0.4,195.7625061,0.316,0.8,130.656,150.579,177.795,NA,NA,NA,0.999886198,NA,15000,5000,20,500,simple
495,500,1000,0.4,123.761499,0.406,0.898,92.6785,106.126,120.881,NA,NA,NA,1.000791552,NA,15000,5000,20,500,simple
496,500,1000,0.4,289.8144657,0.286,0.708,156.89,182.9715,215.486,NA,NA,NA,0.999685513,NA,15000,5000,20,500,simple
497,500,1000,0.4,21.08359588,0.388,0.974,18.8026,21.7338,24.8,NA,NA,NA,1.00000035,NA,15000,5000,20,500,simple
498,500,1000,0.4,239.049217,0.266,0.762,143.564,169.2545,200.928,NA,NA,NA,1.002353319,NA,15000,5000,20,500,simple
499,500,1000,0.4,57.36377015,0.392,0.956,46.6074,54.5534,62.1813,NA,NA,NA,1.003222735,NA,15000,5000,20,500,simple
500,500,1000,0.4,21.49928653,0.384,0.982,17.9896,20.5924,23.6633,NA,NA,NA,1.000400399,NA,15000,5000,20,500,simple
501,1000,1000,0.4,270.5312863,0.288,0.733,163.545,183.183,204.875,NA,NA,NA,1.002468517,NA,15000,5000,20,500,simple
502,1000,1000,0.4,29.75048824,0.43,0.968,25.8262,28.42655,31.194,NA,NA,NA,1.000372006,NA,15000,5000,20,500,simple
503,1000,1000,0.4,194.0544482,0.332,0.828,129.815,142.9115,160.191,NA,NA,NA,1.000740217,NA,15000,5000,20,500,simple
504,1000,1000,0.4,64.72195324,0.358,0.933,54.5282,61.0056,67.432,NA,NA,NA,0.999272076,NA,15000,5000,20,500,simple
505,1000,1000,0.4,273.6784459,0.278,0.731,165.832,187.097,208.565,NA,NA,NA,0.999932338,NA,15000,5000,20,500,simple
506,1000,1000,0.4,188.2377045,0.323,0.808,139.888,157.1,173.469,NA,NA,NA,0.999250721,NA,15000,5000,20,500,simple
507,1000,1000,0.4,26.82466163,0.392,0.972,22.7362,25.19765,27.6879,NA,NA,NA,1.002593633,NA,15000,5000,20,500,simple
508,1000,1000,0.4,181.683292,0.331,0.842,125.793,141.285,155.775,NA,NA,NA,1.001322964,NA,15000,5000,20,500,simple
509,1000,1000,0.4,126.864086,0.366,0.882,85.9013,95.583,105.033,NA,NA,NA,1.001033967,NA,15000,5000,20,500,simple
510,1000,1000,0.4,17.61037319,0.387,0.986,17.5827,19.3857,21.3996,NA,NA,NA,1.002739107,NA,15000,5000,20,500,simple
511,1000,1000,0.4,268.9735543,0.285,0.728,168.249,186.9615,208.906,NA,NA,NA,1.003637262,NA,15000,5000,20,500,simple
512,1000,1000,0.4,148.7351581,0.327,0.858,101.949,114.681,127.413,NA,NA,NA,0.99940602,NA,15000,5000,20,500,simple
513,1000,1000,0.4,122.1330575,0.324,0.861,90.2104,101.365,112.518,NA,NA,NA,1.000199125,NA,15000,5000,20,500,simple
514,1000,1000,0.4,84.56366402,0.357,0.918,65.5064,72.1378,79.8946,NA,NA,NA,1.000735441,NA,15000,5000,20,500,simple
515,1000,1000,0.4,176.0154284,0.314,0.803,133.523,148.375,166.287,NA,NA,NA,1.000764916,NA,15000,5000,20,500,simple
516,1000,1000,0.4,210.8402061,0.313,0.8,152.316,171.1195,189.923,NA,NA,NA,1.000406576,NA,15000,5000,20,500,simple
517,1000,1000,0.4,77.3162638,0.369,0.923,65.4698,72.5276,80.3546,NA,NA,NA,1.000142219,NA,15000,5000,20,500,simple
518,1000,1000,0.4,264.0999462,0.272,0.739,170.986,192.613,214.555,NA,NA,NA,1.002540342,NA,15000,5000,20,500,simple
519,1000,1000,0.4,135.5162313,0.322,0.847,94.515,105.8195,116.869,NA,NA,NA,0.999091999,NA,15000,5000,20,500,simple
520,1000,1000,0.4,25.59582025,0.391,0.975,20.8234,23.0508,25.4115,NA,NA,NA,1.00273808,NA,15000,5000,20,500,simple
521,1000,1000,0.4,294.0576263,0.281,0.687,181.085,204.3095,231.178,NA,NA,NA,1.002506717,NA,15000,5000,20,500,simple
522,1000,1000,0.4,14.20771294,0.38,0.98,12.2481,13.4585,14.7715,NA,NA,NA,1.001408462,NA,15000,5000,20,500,simple
523,1000,1000,0.4,10.49395506,0.397,0.988,8.99721,9.94189,10.92,NA,NA,NA,0.999452298,NA,15000,5000,20,500,simple
524,1000,1000,0.4,78.71926336,0.35,0.912,62.4442,70.52955,78.2188,NA,NA,NA,1.000875372,NA,15000,5000,20,500,simple
525,1000,1000,0.4,83.03088392,0.375,0.916,72.502,79.49485,88.1642,NA,NA,NA,1.000246577,NA,15000,5000,20,500,simple
526,1000,1000,0.4,93.71324652,0.37,0.914,74.844,83.18485,91.9387,NA,NA,NA,0.999129523,NA,15000,5000,20,500,simple
527,1000,1000,0.4,94.79893052,0.362,0.907,73.5579,80.7445,89.1982,NA,NA,NA,0.999719614,NA,15000,5000,20,500,simple
528,1000,1000,0.4,207.9760957,0.317,0.796,152.469,171.2165,189.807,NA,NA,NA,1.000152384,NA,15000,5000,20,500,simple
529,1000,1000,0.4,254.6371776,0.303,0.753,163.656,183.1755,204.942,NA,NA,NA,1.003279733,NA,15000,5000,20,500,simple
530,1000,1000,0.4,177.0576686,0.324,0.832,126.983,141.663,158.434,NA,NA,NA,1.001053642,NA,15000,5000,20,500,simple
531,1000,1000,0.4,199.6143107,0.304,0.797,150.46,167.7665,188.028,NA,NA,NA,0.999579403,NA,15000,5000,20,500,simple
532,1000,1000,0.4,123.77718,0.376,0.879,103.36,114.3045,125.928,NA,NA,NA,1.000220646,NA,15000,5000,20,500,simple
533,1000,1000,0.4,159.0549576,0.317,0.832,116.777,130.486,144.966,NA,NA,NA,0.999387944,NA,15000,5000,20,500,simple
534,1000,1000,0.4,80.61637165,0.375,0.924,70.9039,78.03805,86.4452,NA,NA,NA,1.00052451,NA,15000,5000,20,500,simple
535,1000,1000,0.4,240.5828813,0.321,0.763,152.023,168.335,187.099,NA,NA,NA,0.999964975,NA,15000,5000,20,500,simple
536,1000,1000,0.4,158.1368111,0.35,0.844,113.095,124.517,138.772,NA,NA,NA,0.999569851,NA,15000,5000,20,500,simple
537,1000,1000,0.4,210.2151312,0.328,0.79,150.556,168.242,187.307,NA,NA,NA,1.001590875,NA,15000,5000,20,500,simple
538,1000,1000,0.4,180.9817592,0.321,0.815,126.634,140.951,157.639,NA,NA,NA,1.007005443,NA,15000,5000,20,500,simple
539,1000,1000,0.4,28.64189055,0.37,0.972,23.876,26.5627,29.1747,NA,NA,NA,1.000004579,NA,15000,5000,20,500,simple
540,1000,1000,0.4,159.1209803,0.323,0.835,109.467,123,135.703,NA,NA,NA,1.000896531,NA,15000,5000,20,500,simple
541,1000,1000,0.4,78.25260909,0.367,0.929,59.0187,64.7263,72.0094,NA,NA,NA,0.999600945,NA,15000,5000,20,500,simple
542,1000,1000,0.4,91.48379549,0.352,0.907,75.1243,82.8879,91.9595,NA,NA,NA,0.999953427,NA,15000,5000,20,500,simple
543,1000,1000,0.4,57.50342401,0.378,0.946,47.5934,52.47675,57.937,NA,NA,NA,1.000127725,NA,15000,5000,20,500,simple
544,1000,1000,0.4,123.0564205,0.371,0.875,93.0681,104.0185,113.584,NA,NA,NA,1.000044758,NA,15000,5000,20,500,simple
545,1000,1000,0.4,30.44268516,0.399,0.971,25.374,28.2401,30.9255,NA,NA,NA,1.002152261,NA,15000,5000,20,500,simple
546,1000,1000,0.4,104.240251,0.366,0.898,81.2303,90.28885,99.861,NA,NA,NA,0.999852035,NA,15000,5000,20,500,simple
547,1000,1000,0.4,199.5652962,0.335,0.825,129.232,143.056,159.295,NA,NA,NA,1.000085984,NA,15000,5000,20,500,simple
548,1000,1000,0.4,51.95326823,0.371,0.946,41.3057,46.08365,50.4755,NA,NA,NA,1.001006304,NA,15000,5000,20,500,simple
549,1000,1000,0.4,165.859423,0.339,0.86,117.732,130.659,144.562,NA,NA,NA,1.001239585,NA,15000,5000,20,500,simple
550,1000,1000,0.4,125.9335594,0.365,0.864,96.6461,108.099,118.92,NA,NA,NA,1.002610893,NA,15000,5000,20,500,simple
551,1000,1000,0.4,95.67614385,0.367,0.899,79.065,87.23675,97.3752,NA,NA,NA,1.000674349,NA,15000,5000,20,500,simple
552,1000,1000,0.4,235.4360916,0.283,0.755,149.937,166.427,187.868,NA,NA,NA,0.999207807,NA,15000,5000,20,500,simple
553,1000,1000,0.4,65.43398341,0.37,0.948,57.5498,63.9021,70.2855,NA,NA,NA,1.003334547,NA,15000,5000,20,500,simple
554,1000,1000,0.4,53.5017776,0.381,0.941,45.3623,50.19705,55.2182,NA,NA,NA,0.999519442,NA,15000,5000,20,500,simple
555,1000,1000,0.4,188.7430853,0.296,0.808,123.986,138.901,155.077,NA,NA,NA,0.999439851,NA,15000,5000,20,500,simple
556,1000,1000,0.4,57.7551092,0.393,0.944,49.3423,53.99515,60.2023,NA,NA,NA,1.003777627,NA,15000,5000,20,500,simple
557,1000,1000,0.4,131.7985055,0.321,0.86,102.62,114.203,127.231,NA,NA,NA,1.001170042,NA,15000,5000,20,500,simple
558,1000,1000,0.4,260.9077346,0.278,0.774,166.819,186.0725,211.119,NA,NA,NA,1.000790872,NA,15000,5000,20,500,simple
559,1000,1000,0.4,281.201876,0.279,0.724,164.475,185.788,207.683,NA,NA,NA,1.000747383,NA,15000,5000,20,500,simple
560,1000,1000,0.4,94.49742984,0.344,0.909,72.4124,80.6692,89.4464,NA,NA,NA,1.001182538,NA,15000,5000,20,500,simple
561,1000,1000,0.4,79.07293864,0.352,0.928,62.116,68.95415,76.7494,NA,NA,NA,1.001339216,NA,15000,5000,20,500,simple
562,1000,1000,0.4,84.67884365,0.359,0.93,66.806,74.22855,82.0071,NA,NA,NA,1.00142615,NA,15000,5000,20,500,simple
563,1000,1000,0.4,27.85410782,0.398,0.985,24.5564,27.1215,29.8897,NA,NA,NA,1.001880347,NA,15000,5000,20,500,simple
564,1000,1000,0.4,233.5833214,0.323,0.783,155.712,172.4285,193.007,NA,NA,NA,1.000397043,NA,15000,5000,20,500,simple
565,1000,1000,0.4,43.90335142,0.354,0.957,38.5206,42.7013,47.1721,NA,NA,NA,0.999283751,NA,15000,5000,20,500,simple
566,1000,1000,0.4,192.5503595,0.336,0.812,135.817,151.4355,167.13,NA,NA,NA,1.000869436,NA,15000,5000,20,500,simple
567,1000,1000,0.4,238.7234013,0.307,0.784,172.569,191.4935,213.888,NA,NA,NA,1.001470706,NA,15000,5000,20,500,simple
568,1000,1000,0.4,180.5885261,0.311,0.818,122.536,137.7025,152.197,NA,NA,NA,1.001662282,NA,15000,5000,20,500,simple
569,1000,1000,0.4,176.6947283,0.333,0.819,120.202,133.3425,147.716,NA,NA,NA,1.001294068,NA,15000,5000,20,500,simple
570,1000,1000,0.4,289.0359027,0.26,0.692,156.49,178.7155,201.778,NA,NA,NA,1.000582494,NA,15000,5000,20,500,simple
571,1000,1000,0.4,45.5455425,0.407,0.954,39.6348,43.5177,47.7127,NA,NA,NA,1.001840541,NA,15000,5000,20,500,simple
572,1000,1000,0.4,207.8411925,0.31,0.817,131.688,147.2595,164.405,NA,NA,NA,1.001614931,NA,15000,5000,20,500,simple
573,1000,1000,0.4,96.46199163,0.381,0.915,74.1608,82.3699,90.2833,NA,NA,NA,1.002195668,NA,15000,5000,20,500,simple
574,1000,1000,0.4,268.2008128,0.301,0.732,173.517,194.96,218.758,NA,NA,NA,1.002116021,NA,15000,5000,20,500,simple
575,1000,1000,0.4,76.70526217,0.353,0.94,61.3843,68.7003,75.9693,NA,NA,NA,0.999646314,NA,15000,5000,20,500,simple
576,1000,1000,0.4,107.6691115,0.377,0.901,82.2971,90.74255,100.415,NA,NA,NA,1.001360295,NA,15000,5000,20,500,simple
577,1000,1000,0.4,282.6139574,0.289,0.722,157.178,178.624,199.604,NA,NA,NA,1.000793336,NA,15000,5000,20,500,simple
578,1000,1000,0.4,126.4263583,0.363,0.869,106.617,117.879,131.015,NA,NA,NA,0.999384208,NA,15000,5000,20,500,simple
579,1000,1000,0.4,88.18950478,0.367,0.917,70.2284,77.04975,85.9518,NA,NA,NA,1.000310396,NA,15000,5000,20,500,simple
580,1000,1000,0.4,16.66236165,0.394,0.986,13.8806,15.35395,17.0554,NA,NA,NA,0.999918364,NA,15000,5000,20,500,simple
581,1000,1000,0.4,80.5248427,0.38,0.928,64.8116,71.3788,78.8622,NA,NA,NA,1.001221904,NA,15000,5000,20,500,simple
582,1000,1000,0.4,113.7368051,0.341,0.892,95.8037,107.211,118.982,NA,NA,NA,1.000641572,NA,15000,5000,20,500,simple
583,1000,1000,0.4,216.1817388,0.27,0.787,138.029,154.355,173.828,NA,NA,NA,1.001394149,NA,15000,5000,20,500,simple
584,1000,1000,0.4,113.3217736,0.364,0.898,89.2863,98.6114,108.894,NA,NA,NA,0.999441155,NA,15000,5000,20,500,simple
585,1000,1000,0.4,253.546192,0.315,0.755,153.952,171.8475,191.543,NA,NA,NA,1.000666693,NA,15000,5000,20,500,simple
586,1000,1000,0.4,45.34708045,0.37,0.966,39.3141,43.5864,48.2315,NA,NA,NA,0.999333311,NA,15000,5000,20,500,simple
587,1000,1000,0.4,90.3857308,0.381,0.92,68.8796,76.32275,83.9607,NA,NA,NA,1.002042798,NA,15000,5000,20,500,simple
588,1000,1000,0.4,256.7269049,0.294,0.735,160.9,181.6195,202.131,NA,NA,NA,1.003234663,NA,15000,5000,20,500,simple
589,1000,1000,0.4,99.17485534,0.358,0.902,78.522,87.61725,96.2148,NA,NA,NA,1.00120338,NA,15000,5000,20,500,simple
590,1000,1000,0.4,71.74989187,0.328,0.934,59.9962,66.56655,74.1703,NA,NA,NA,1.001284823,NA,15000,5000,20,500,simple
591,1000,1000,0.4,217.359707,0.326,0.781,147.123,164.485,184.288,NA,NA,NA,1.001070333,NA,15000,5000,20,500,simple
592,1000,1000,0.4,109.9066949,0.356,0.898,86.7532,96.7917,106.941,NA,NA,NA,1.001675043,NA,15000,5000,20,500,simple
593,1000,1000,0.4,204.4027981,0.331,0.806,147.739,164.113,182.623,NA,NA,NA,1.002937013,NA,15000,5000,20,500,simple
594,1000,1000,0.4,19.73988155,0.389,0.987,15.4986,17.05865,18.7482,NA,NA,NA,1.000100039,NA,15000,5000,20,500,simple
595,1000,1000,0.4,168.287724,0.333,0.804,118.074,129.8445,145.531,NA,NA,NA,1.001254316,NA,15000,5000,20,500,simple
596,1000,1000,0.4,83.08208501,0.378,0.924,66.7159,73.89765,81.6846,NA,NA,NA,1.001153208,NA,15000,5000,20,500,simple
597,1000,1000,0.4,129.1252389,0.323,0.871,98.3493,109.734,122.312,NA,NA,NA,1.002545422,NA,15000,5000,20,500,simple
