"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"66",100,500,0.4,288.875284912065,0.2,0.55,83.6349,331.7615,7178.69,1.00155375481412,15000,5000,20,500
"67",100,500,0.4,17.0451187808067,0.36,0.94,9.96974,14.3454,19.5174,1.00017035974585,15000,5000,20,500
"68",100,500,0.4,228.165157707408,0.24,0.57,116.708,930.461,14339.2,0.999223141118736,15000,5000,20,500
"69",100,500,0.4,67.3880293592811,0.34,0.86,42.3925,67.10885,99.1397,1.0022329420486,15000,5000,20,500
"70",100,500,0.4,245.776243815199,0.19,0.62,111.354,1286.35,16071.8,1.00312571133921,15000,5000,20,500
"71",100,500,0.4,155.292816006113,0.2,0.66,68.7987,168.8975,662.936,1.00114449070979,15000,5000,20,500
"72",100,500,0.4,109.805533869658,0.34,0.7,58.7029,103.217,165.759,1.00000207100517,15000,5000,20,500
"73",100,500,0.4,216.001698733307,0.19,0.59,72.3747,374.1035,9361.06,1.00004978267964,15000,5000,20,500
"74",100,500,0.4,72.5578361330554,0.4,0.86,46.4085,71.2097,106.202,1.00089017964814,15000,5000,20,500
"75",100,500,0.4,237.238549028989,0.18,0.61,74.0333,336.8815,9071.52,0.999663518024379,15000,5000,20,500
"76",100,500,0.4,98.6388788581826,0.37,0.87,63.9349,108.7475,180.334,1.0012906336648,15000,5000,20,500
"77",100,500,0.4,163.684323413763,0.21,0.74,75.2031,446.9165,12326.9,1.0031136076379,15000,5000,20,500
"78",100,500,0.4,157.143657025881,0.31,0.68,68.5263,137.6705,263.631,1.00471593149199,15000,5000,20,500
"79",100,500,0.4,189.074080279097,0.21,0.59,146.437,2048.595,17157.4,0.999583537949938,15000,5000,20,500
"80",100,500,0.4,12.2371115372516,0.35,0.94,7.37008,10.25425,14.3737,0.999416236673404,15000,5000,20,500
"81",100,500,0.4,169.04253722867,0.3,0.7,61.1891,114.641,209.003,0.999985990128256,15000,5000,20,500
"82",100,500,0.4,220.51299556857,0.2,0.56,83.5508,621.576,12449.3,0.999956072189289,15000,5000,20,500
"83",100,500,0.4,287.610090489034,0.18,0.57,140.152,2324.065,17616.6,1.00016767739228,15000,5000,20,500
"84",100,500,0.4,93.5456071444787,0.36,0.81,54.0492,84.03165,132.542,1.00189156816293,15000,5000,20,500
"85",100,500,0.4,168.743192695547,0.32,0.78,101.409,399.842,8338.66,1.00184198290134,15000,5000,20,500
"86",100,500,0.4,31.7022318625823,0.32,0.91,18.6894,28.56025,40.9741,0.999876022640844,15000,5000,20,500
"87",100,500,0.4,219.293783612084,0.14,0.56,51.669,200.349,3471.11,1.00194688888549,15000,5000,20,500
"88",100,500,0.4,94.9974890542217,0.28,0.75,62.5935,112.8135,197.089,0.999745393549234,15000,5000,20,500
"89",100,500,0.4,240.54585325066,0.25,0.54,52.9407,99.3498,182.37,1.00153507026247,15000,5000,20,500
"90",100,500,0.4,34.3899748940021,0.33,0.94,20.2229,29.6402,42.0884,1.00152128745244,15000,5000,20,500
"91",100,500,0.4,119.650721268263,0.34,0.81,81.0733,159.1055,330.964,1.01135428213281,15000,5000,20,500
"92",100,500,0.4,239.976827595383,0.32,0.61,122.073,572.7215,11404.2,0.999321385920666,15000,5000,20,500
"93",100,500,0.4,263.118675928563,0.22,0.62,62.3034,169.72,615.46,1.0125381162865,15000,5000,20,500
"94",100,500,0.4,94.5872452459298,0.36,0.76,56.9563,100.0224,162.345,1.00288043040407,15000,5000,20,500
"95",100,500,0.4,162.975620338693,0.28,0.7,72.5973,175.7605,591.203,1.01405444559518,15000,5000,20,500
"96",100,500,0.4,88.3360333368182,0.28,0.75,55.1911,98.65695,168.35,1.00121002781812,15000,5000,20,500
"97",100,500,0.4,93.8782540592365,0.3,0.85,70.0998,129.8695,263.349,1.0087578862563,15000,5000,20,500
"98",100,500,0.4,260.095053014811,0.19,0.53,85.6224,380.387,8897.31,1.00062976056389,15000,5000,20,500
"99",100,500,0.4,96.090111839585,0.34,0.8,50.8284,81.5605,126.417,0.999299306661005,15000,5000,20,500
"100",100,500,0.4,27.7901033568196,0.32,0.92,20.3793,30.2478,43.7719,1.00394225367346,15000,5000,20,500
"101",500,500,0.4,21.7496206238866,0.378,0.95,20.0909,23.80925,27.4597,1.00109338680472,15000,5000,20,500
"102",500,500,0.4,36.6944706556387,0.364,0.918,30.5911,35.9098,42.1421,1.00091457593649,15000,5000,20,500
"103",500,500,0.4,216.247395626269,0.208,0.582,160.032,308.447,719.963,1.00368499870029,15000,5000,20,500
"104",500,500,0.4,199.071157735307,0.29,0.668,127.061,177.2605,243.007,1.00113781572981,15000,5000,20,500
"105",500,500,0.4,42.0631813351065,0.402,0.902,36.6011,42.7889,50.1143,1.0003195190274,15000,5000,20,500
"106",500,500,0.4,36.1663524620235,0.378,0.944,35.9154,42.41385,49.5537,1.00449672089071,15000,5000,20,500
"107",500,500,0.4,107.99776827218,0.31,0.754,87.8402,112.25,141.932,1.00045235425272,15000,5000,20,500
"108",500,500,0.4,129.046068652533,0.292,0.742,90.0195,113.274,143.652,0.999242090451925,15000,5000,20,500
"109",500,500,0.4,166.304998015985,0.29,0.69,119.486,161.4245,218.933,1.00176639347261,15000,5000,20,500
"110",500,500,0.4,117.040019973647,0.27,0.756,82.7111,104.9355,135.021,0.999443003674903,15000,5000,20,500
"111",500,500,0.4,245.626925088,0.26,0.576,190.633,361.922,804.714,1.00470263870743,15000,5000,20,500
"112",500,500,0.4,46.4712217194028,0.386,0.916,39.9247,47.2005,54.9098,1.00216718580256,15000,5000,20,500
"113",500,500,0.4,192.191301591229,0.288,0.67,118.364,160.657,212.134,1.00115542236706,15000,5000,20,500
"114",500,500,0.4,239.250259574037,0.23,0.58,207.286,677.415,7965.85,1.00120767836286,15000,5000,20,500
"115",500,500,0.4,67.1626286371611,0.342,0.868,67.9342,84.17225,100.086,1.00093530387921,15000,5000,20,500
"116",500,500,0.4,76.4135429030284,0.36,0.85,70.0334,85.8665,102.918,1.00350839795303,15000,5000,20,500
"117",500,500,0.4,228.715882299002,0.244,0.596,146.147,234.9615,374.441,0.999617385601941,15000,5000,20,500
"118",500,500,0.4,160.681928661652,0.282,0.692,110.512,148.2655,198.601,0.999598519900742,15000,5000,20,500
"119",500,500,0.4,78.2026463351212,0.31,0.832,61.8146,76.29265,93.0689,0.999481769320057,15000,5000,20,500
"120",500,500,0.4,261.327752335928,0.224,0.542,123.724,185.059,275.673,1.00170214832063,15000,5000,20,500
"121",500,500,0.4,146.359623298049,0.308,0.736,99.6573,129.6205,171.119,1.00197750778354,15000,5000,20,500
"122",500,500,0.4,81.5588426333852,0.33,0.834,72.6093,88.0096,109.692,1.00044107086049,15000,5000,20,500
"123",500,500,0.4,285.311892535537,0.24,0.548,153.645,246.401,393.271,0.999673512660691,15000,5000,20,500
"124",500,500,0.4,28.825734462589,0.372,0.944,22.3955,26.1419,29.9668,1.00270866254548,15000,5000,20,500
"125",500,500,0.4,104.612483098172,0.33,0.784,87.9976,108.425,136.228,0.99918987335346,15000,5000,20,500
"126",500,500,0.4,292.479600887746,0.224,0.528,156.596,346.38,790.822,1.00616913315587,15000,5000,20,500
"127",500,500,0.4,82.7681755414233,0.338,0.816,71.6742,87.16295,106.419,1.00071216688306,15000,5000,20,500
"128",500,500,0.4,184.350022766739,0.28,0.68,139.742,199.4455,280.48,1.00229915120001,15000,5000,20,500
"129",500,500,0.4,265.456437678076,0.246,0.568,132.167,198.5205,285.242,1.00021603647199,15000,5000,20,500
"130",500,500,0.4,293.209516054485,0.22,0.532,143.129,228.14,370.543,1.00066683498792,15000,5000,20,500
"131",500,500,0.4,257.927528908476,0.214,0.54,169.08,341.9195,736.764,1.00498024572676,15000,5000,20,500
"132",500,500,0.4,167.024679447059,0.286,0.682,164.556,246.9735,395.297,1.00861294504961,15000,5000,20,500
"133",500,500,0.4,58.1150523060933,0.34,0.89,48.4719,57.8932,68.6192,1.00030719489622,15000,5000,20,500
"134",500,500,0.4,110.640943939798,0.33,0.792,92.0359,115.1755,148.324,1.00495904238268,15000,5000,20,500
"135",500,500,0.4,173.007924859412,0.268,0.684,134.543,192.247,274.975,1.00228265534394,15000,5000,20,500
"136",500,500,0.4,248.083334742114,0.218,0.526,162.885,310.023,688.833,1.01035410735796,15000,5000,20,500
"137",500,500,0.4,298.224458340555,0.19,0.478,134.855,208.5795,340.177,1.00151180213129,15000,5000,20,500
"138",500,500,0.4,121.859823588748,0.286,0.75,103.832,133.958,176.787,0.999990857319669,15000,5000,20,500
"139",500,500,0.4,229.678545405623,0.228,0.588,109.672,152.763,213.946,1.00252426298317,15000,5000,20,500
"140",500,500,0.4,112.837796013337,0.306,0.762,73.3492,90.2393,111.628,1.00093210349707,15000,5000,20,500
"141",500,500,0.4,74.2440024879761,0.356,0.882,56.1919,67.3557,80.7975,1.00200442115169,15000,5000,20,500
