"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"62",500,500,50,0.4,1,0.398,0.894,44.0079,51.52205,60.7379,0.393389,0.442456,0.485759,0.999308981733825,0.999763952344061,15000,5000,20,500
"63",500,500,50,0.4,1,0.392,0.908,38.2862,45.45615,53.009,0.381737,0.435416,0.476949,1.00004005500484,1.00124699460407,15000,5000,20,500
"64",500,500,50,0.4,1,0.404,0.918,42.4552,49.2857,57.8068,0.401917,0.447839,0.491783,1.01408436117667,1.00040280598895,15000,5000,20,500
"65",500,500,50,0.4,1,0.368,0.916,41.7355,49.2441,58.63,0.359291,0.4068255,0.452479,1.00068952268968,0.999835866474275,15000,5000,20,500
"66",500,500,50,0.4,1,0.356,0.904,41.4889,49.66345,58.5253,0.349996,0.3937785,0.439319,0.999461570810626,1.00035680906593,15000,5000,20,500
"67",500,500,50,0.4,1,0.31,0.852,42.8741,51.71195,60.2011,0.306808,0.352763,0.395474,1.00097052961151,0.999988886273679,15000,5000,20,500
"68",500,500,50,0.4,1,0.354,0.904,41.3627,49.47865,57.3705,0.3447,0.390873,0.437333,1.00217217674135,0.999746400912885,15000,5000,20,500
"69",500,500,50,0.4,1,0.368,0.894,43.7434,51.2347,60.9744,0.36978,0.4090295,0.466964,1.00059843160057,0.999685530155514,15000,5000,20,500
"70",500,500,50,0.4,1,0.376,0.912,38.7219,45.3845,53.3744,0.362884,0.409328,0.455453,1.00185861331695,0.999932046417468,15000,5000,20,500
"71",500,500,50,0.4,1,0.42,0.908,40.5752,47.7133,55.9169,0.419509,0.470002,0.517232,0.999303591923168,1.00219099999602,15000,5000,20,500
"72",500,500,50,0.4,1,0.404,0.906,43.6316,52.1319,60.4252,0.401167,0.4507965,0.499994,0.999234730956813,1.00305742287723,15000,5000,20,500
"73",500,500,50,0.4,1,0.346,0.896,40.8981,48.93325,57.1687,0.338932,0.3836345,0.427388,1.01096176714967,1.00033285594856,15000,5000,20,500
"74",500,500,50,0.4,1,0.366,0.906,46.3093,55.895,65.5783,0.368188,0.41518,0.46199,1.00187403914325,0.999918690505719,15000,5000,20,500
"75",500,500,50,0.4,1,0.356,0.89,38.6637,45.79935,54.1077,0.348356,0.39401,0.441242,1.00038955966012,1.00715260338337,15000,5000,20,500
"76",500,500,50,0.4,1,0.338,0.912,46.7027,55.8389,65.4799,0.332238,0.3769975,0.420794,1.00607953887872,1.00223900649051,15000,5000,20,500
"77",500,500,50,0.4,1,0.394,0.894,43.7568,51.23825,59.334,0.392202,0.4400185,0.487107,1.0020076579691,1.00028274998021,15000,5000,20,500
"78",500,500,50,0.4,1,0.406,0.908,42.5665,50.17495,58.4832,0.402626,0.4516525,0.493881,0.999377793185941,1.00096750853485,15000,5000,20,500
"79",500,500,50,0.4,1,0.362,0.88,45.1042,52.9457,63.0451,0.358907,0.403905,0.454981,1.00131143699889,1.00109918906934,15000,5000,20,500
"80",500,500,50,0.4,1,0.386,0.906,41.848,50.06055,57.9969,0.380536,0.429359,0.475023,1.00593256630473,0.999183754137144,15000,5000,20,500
"81",500,500,50,0.4,1,0.324,0.892,39.8986,46.971,55.4448,0.311495,0.3578625,0.403399,1.00073850569515,1.00309589984887,15000,5000,20,500
"82",500,500,50,0.4,1,0.364,0.908,43.622,51.16915,60.2419,0.356437,0.405051,0.450339,1.0056257388374,1.00217365975056,15000,5000,20,500
"83",500,500,50,0.4,1,0.392,0.882,49.7909,57.3275,67.2704,0.396022,0.4402745,0.489929,1.00103075342872,1.00160359651749,15000,5000,20,500
"84",500,500,50,0.4,1,0.342,0.89,40.0446,48.6064,56.9171,0.338009,0.3831365,0.431298,1.00244819494856,1.00008899483435,15000,5000,20,500
"85",500,500,50,0.4,1,0.414,0.906,42.2687,48.62075,57.7422,0.410252,0.4592875,0.504583,1.00810025755418,1.00109282559423,15000,5000,20,500
"86",500,500,50,0.4,1,0.384,0.912,36.9495,43.83285,50.0329,0.3808,0.425509,0.473103,1.00224196259289,0.999683682589124,15000,5000,20,500
"87",500,500,50,0.4,1,0.372,0.916,45.9398,54.8716,64.4513,0.376031,0.42021,0.465334,1.00163761391289,0.999578901191939,15000,5000,20,500
"88",500,500,50,0.4,1,0.356,0.912,42.2791,49.52385,59.0543,0.348815,0.391864,0.441244,1.00093984672386,0.99919074284211,15000,5000,20,500
"89",500,500,50,0.4,1,0.34,0.888,44.5845,53.6771,63.9115,0.336618,0.3802355,0.42801,1.00305363102143,1.00105566772297,15000,5000,20,500
"90",500,500,50,0.4,1,0.368,0.904,38.3201,45.5566,52.7912,0.357777,0.4039685,0.450783,1.00169562910629,1.00066467089564,15000,5000,20,500
"91",500,500,50,0.4,1,0.386,0.9,43.5717,51.9713,60.4439,0.384631,0.4272575,0.478836,1.00058689951134,1.00059315630845,15000,5000,20,500
"92",500,500,50,0.4,1,0.404,0.922,49.6111,58.48175,68.2528,0.408021,0.449541,0.49882,1.00805851466918,0.999444025829685,15000,5000,20,500
"93",500,500,50,0.4,1,0.374,0.9,36.8123,43.3541,50.4475,0.363225,0.410657,0.457474,1.00306593954829,0.999702437903641,15000,5000,20,500
"94",500,500,50,0.4,1,0.344,0.904,40.0646,48.071,56.3516,0.335285,0.378842,0.426292,0.999589702482235,1.00047116219021,15000,5000,20,500
"95",500,500,50,0.4,1,0.388,0.882,45.306,53.4554,62.4897,0.390825,0.4402625,0.490451,1.00353168352463,1.00419014143448,15000,5000,20,500
"96",500,500,50,0.4,1,0.374,0.9,38.716,46.11875,53.8765,0.366487,0.410823,0.457024,1.00495158293997,1.00125338831762,15000,5000,20,500
"97",500,500,50,0.4,1,0.362,0.892,43.6988,51.94075,62.0047,0.364193,0.4084655,0.45886,1.00179955129843,1.00211851710318,15000,5000,20,500
"98",500,500,50,0.4,1,0.396,0.874,37.8586,44.1013,51.1474,0.382661,0.4352335,0.477424,1.00059351744799,0.999602443514586,15000,5000,20,500
"99",500,500,50,0.4,1,0.356,0.894,40.7434,48.0883,56.364,0.350998,0.397175,0.445499,1.00027128986696,0.999111338968937,15000,5000,20,500
"100",500,500,50,0.4,1,0.358,0.91,41.6359,49.24815,58.8201,0.350656,0.3921965,0.442591,1.00161329852975,1.00234847282201,15000,5000,20,500
"101",1000,500,50,0.4,1,0.366,0.901,45.777,51.72925,58.0981,0.377784,0.411087,0.443159,1.00046170324193,0.999044238569047,15000,5000,20,500
"102",1000,500,50,0.4,1,0.381,0.919,40.9707,45.68005,51.4123,0.383431,0.4159225,0.447754,0.999674599935071,1.00030694112628,15000,5000,20,500
"103",1000,500,50,0.4,1,0.375,0.9,40.4018,45.3336,50.5664,0.38352,0.4176755,0.449001,1.00079561756545,0.999803751567018,15000,5000,20,500
"104",1000,500,50,0.4,1,0.344,0.902,45.2051,50.9198,57.3967,0.350385,0.3811265,0.416144,1.00142362327443,1.00184213481548,15000,5000,20,500
"105",1000,500,50,0.4,1,0.368,0.879,42.685,48.0251,53.6617,0.37543,0.4097005,0.440108,0.999373789541884,0.999542818915638,15000,5000,20,500
"106",1000,500,50,0.4,1,0.37,0.899,44.6597,50.81825,57.0662,0.381447,0.4140255,0.447664,0.999670241751614,0.99988815125864,15000,5000,20,500
"107",1000,500,50,0.4,1,0.357,0.897,48.6078,55.02685,61.9628,0.368291,0.400246,0.432187,1.00419824386621,1.0019488733066,15000,5000,20,500
"108",1000,500,50,0.4,1,0.366,0.914,42.4554,48.34675,53.8554,0.373354,0.4039725,0.439844,1.00033679082399,1.00320999055118,15000,5000,20,500
"109",1000,500,50,0.4,1,0.355,0.887,48.1292,54.4055,60.9816,0.365883,0.3990025,0.432593,1.00448624786596,1.00679675718247,15000,5000,20,500
"110",1000,500,50,0.4,1,0.365,0.894,44.8362,50.4184,56.6739,0.374856,0.407401,0.440943,1.00888635415241,1.00075410804714,15000,5000,20,500
"111",1000,500,50,0.4,1,0.381,0.906,45.4621,51.59855,57.0972,0.390669,0.4219905,0.457504,1.00383866174951,0.999847492017004,15000,5000,20,500
"112",1000,500,50,0.4,1,0.376,0.895,46.4493,51.70085,58.588,0.386191,0.420191,0.452439,1.00051495996353,0.999770240103482,15000,5000,20,500
"113",1000,500,50,0.4,1,0.42,0.915,47.7185,53.2812,59.7607,0.436528,0.4667895,0.503502,1.00078468587893,1.00014167293715,15000,5000,20,500
"114",1000,500,50,0.4,1,0.355,0.903,45.5984,51.21565,57.4549,0.359695,0.3947915,0.427535,1.00294548950164,1.00022816181839,15000,5000,20,500
"115",1000,500,50,0.4,1,0.387,0.905,45.4087,51.4826,57.0265,0.395263,0.4294425,0.462867,1.0006330678695,1.00068702174113,15000,5000,20,500
"116",1000,500,50,0.4,1,0.4,0.9,41.2306,46.39675,51.3838,0.408825,0.441147,0.474083,1.00404683401108,1.00110182434793,15000,5000,20,500
